 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.134099E-06    0.226653E+00   -0.157309E-22    0.260427E-23   -0.100000E+01    0.745718E+07    0.456543E-03    0.999543E+00
    0.134532E-06    0.226653E+00   -0.159470E-22    0.263807E-23   -0.100000E+01    0.743317E+07    0.458017E-03    0.999542E+00
    0.134967E-06    0.226653E+00   -0.161646E-22    0.267231E-23   -0.100000E+01    0.740924E+07    0.459496E-03    0.999541E+00
    0.135402E-06    0.226653E+00   -0.163837E-22    0.270700E-23   -0.100000E+01    0.738539E+07    0.460979E-03    0.999539E+00
    0.135840E-06    0.226653E+00   -0.166043E-22    0.274213E-23   -0.100000E+01    0.736162E+07    0.462467E-03    0.999538E+00
    0.136278E-06    0.226653E+00   -0.168265E-22    0.277772E-23   -0.100000E+01    0.733792E+07    0.463960E-03    0.999536E+00
    0.136718E-06    0.226653E+00   -0.170502E-22    0.281377E-23   -0.100000E+01    0.731430E+07    0.465457E-03    0.999535E+00
    0.137160E-06    0.226653E+00   -0.172756E-22    0.285029E-23   -0.100000E+01    0.729076E+07    0.466960E-03    0.999533E+00
    0.137603E-06    0.226653E+00   -0.175026E-22    0.288729E-23   -0.100000E+01    0.726729E+07    0.468467E-03    0.999532E+00
    0.138047E-06    0.226653E+00   -0.177312E-22    0.292476E-23   -0.100000E+01    0.724389E+07    0.469979E-03    0.999530E+00
    0.138493E-06    0.226653E+00   -0.179614E-22    0.296272E-23   -0.100000E+01    0.722057E+07    0.471496E-03    0.999529E+00
    0.138940E-06    0.226653E+00   -0.181934E-22    0.300118E-23   -0.100000E+01    0.719733E+07    0.473018E-03    0.999527E+00
    0.139389E-06    0.226653E+00   -0.184270E-22    0.304013E-23   -0.100000E+01    0.717416E+07    0.474545E-03    0.999525E+00
    0.139839E-06    0.226653E+00   -0.186624E-22    0.307959E-23   -0.100000E+01    0.715107E+07    0.476077E-03    0.999524E+00
    0.140291E-06    0.226653E+00   -0.188995E-22    0.311956E-23   -0.100000E+01    0.712805E+07    0.477614E-03    0.999522E+00
    0.140744E-06    0.226653E+00   -0.191384E-22    0.316005E-23   -0.100000E+01    0.710510E+07    0.479156E-03    0.999521E+00
    0.141198E-06    0.226653E+00   -0.193791E-22    0.320106E-23   -0.100000E+01    0.708223E+07    0.480702E-03    0.999519E+00
    0.141654E-06    0.226653E+00   -0.196216E-22    0.324261E-23   -0.100000E+01    0.705943E+07    0.482254E-03    0.999518E+00
    0.142112E-06    0.226653E+00   -0.198659E-22    0.328469E-23   -0.100000E+01    0.703671E+07    0.483811E-03    0.999516E+00
    0.142571E-06    0.226653E+00   -0.201121E-22    0.332733E-23   -0.100000E+01    0.701406E+07    0.485372E-03    0.999515E+00
    0.143031E-06    0.226653E+00   -0.203602E-22    0.337051E-23   -0.100000E+01    0.699148E+07    0.486939E-03    0.999513E+00
    0.143493E-06    0.226653E+00   -0.206101E-22    0.341426E-23   -0.100000E+01    0.696897E+07    0.488511E-03    0.999511E+00
    0.143957E-06    0.226653E+00   -0.208620E-22    0.345857E-23   -0.100000E+01    0.694654E+07    0.490088E-03    0.999510E+00
    0.144422E-06    0.226653E+00   -0.211159E-22    0.350346E-23   -0.100000E+01    0.692418E+07    0.491670E-03    0.999508E+00
    0.144888E-06    0.226653E+00   -0.213717E-22    0.354893E-23   -0.100000E+01    0.690189E+07    0.493257E-03    0.999507E+00
    0.145356E-06    0.226653E+00   -0.216295E-22    0.359499E-23   -0.100000E+01    0.687967E+07    0.494849E-03    0.999505E+00
    0.145825E-06    0.226653E+00   -0.218894E-22    0.364165E-23   -0.100000E+01    0.685752E+07    0.496446E-03    0.999504E+00
    0.146296E-06    0.226653E+00   -0.221513E-22    0.368892E-23   -0.100000E+01    0.683545E+07    0.498048E-03    0.999502E+00
    0.146769E-06    0.226653E+00   -0.224152E-22    0.373679E-23   -0.100000E+01    0.681344E+07    0.499656E-03    0.999500E+00
    0.147243E-06    0.226653E+00   -0.226813E-22    0.378529E-23   -0.100000E+01    0.679151E+07    0.501269E-03    0.999499E+00
    0.147718E-06    0.226653E+00   -0.229495E-22    0.383442E-23   -0.100000E+01    0.676965E+07    0.502887E-03    0.999497E+00
    0.148195E-06    0.226653E+00   -0.232198E-22    0.388419E-23   -0.100000E+01    0.674786E+07    0.504510E-03    0.999495E+00
    0.148674E-06    0.226653E+00   -0.234923E-22    0.393460E-23   -0.100000E+01    0.672613E+07    0.506139E-03    0.999494E+00
    0.149154E-06    0.226653E+00   -0.237670E-22    0.398567E-23   -0.100000E+01    0.670448E+07    0.507772E-03    0.999492E+00
    0.149636E-06    0.226653E+00   -0.240439E-22    0.403740E-23   -0.100000E+01    0.668290E+07    0.509411E-03    0.999491E+00
    0.150119E-06    0.226653E+00   -0.243231E-22    0.408980E-23   -0.100000E+01    0.666139E+07    0.511056E-03    0.999489E+00
    0.150604E-06    0.226653E+00   -0.246046E-22    0.414288E-23   -0.100000E+01    0.663994E+07    0.512705E-03    0.999487E+00
    0.151090E-06    0.226653E+00   -0.248883E-22    0.419665E-23   -0.100000E+01    0.661857E+07    0.514360E-03    0.999486E+00
    0.151578E-06    0.226653E+00   -0.251744E-22    0.425112E-23   -0.100000E+01    0.659726E+07    0.516020E-03    0.999484E+00
    0.152068E-06    0.226653E+00   -0.254628E-22    0.430629E-23   -0.100000E+01    0.657603E+07    0.517686E-03    0.999482E+00
    0.152559E-06    0.226653E+00   -0.257536E-22    0.436218E-23   -0.100000E+01    0.655486E+07    0.519357E-03    0.999481E+00
    0.153051E-06    0.226653E+00   -0.260469E-22    0.441880E-23   -0.100000E+01    0.653376E+07    0.521033E-03    0.999479E+00
    0.153546E-06    0.226653E+00   -0.263425E-22    0.447615E-23   -0.100000E+01    0.651273E+07    0.522715E-03    0.999477E+00
    0.154041E-06    0.226653E+00   -0.266406E-22    0.453425E-23   -0.100000E+01    0.649176E+07    0.524402E-03    0.999476E+00
    0.154539E-06    0.226653E+00   -0.269413E-22    0.459310E-23   -0.100000E+01    0.647086E+07    0.526095E-03    0.999474E+00
    0.155038E-06    0.226653E+00   -0.272444E-22    0.465271E-23   -0.100000E+01    0.645003E+07    0.527793E-03    0.999472E+00
    0.155539E-06    0.226653E+00   -0.275501E-22    0.471310E-23   -0.100000E+01    0.642927E+07    0.529497E-03    0.999471E+00
    0.156041E-06    0.226653E+00   -0.278584E-22    0.477427E-23   -0.100000E+01    0.640857E+07    0.531206E-03    0.999469E+00
    0.156545E-06    0.226653E+00   -0.281692E-22    0.483623E-23   -0.100000E+01    0.638794E+07    0.532920E-03    0.999467E+00
    0.157050E-06    0.226653E+00   -0.284827E-22    0.489900E-23   -0.100000E+01    0.636738E+07    0.534641E-03    0.999465E+00
    0.157558E-06    0.226653E+00   -0.287989E-22    0.496258E-23   -0.100000E+01    0.634688E+07    0.536366E-03    0.999464E+00
    0.158066E-06    0.226653E+00   -0.291178E-22    0.502699E-23   -0.100000E+01    0.632645E+07    0.538097E-03    0.999462E+00
    0.158577E-06    0.226653E+00   -0.294394E-22    0.509224E-23   -0.100000E+01    0.630609E+07    0.539834E-03    0.999460E+00
    0.159089E-06    0.226653E+00   -0.297637E-22    0.515833E-23   -0.100000E+01    0.628579E+07    0.541577E-03    0.999458E+00
    0.159603E-06    0.226653E+00   -0.300908E-22    0.522528E-23   -0.100000E+01    0.626555E+07    0.543325E-03    0.999457E+00
    0.160118E-06    0.226653E+00   -0.304208E-22    0.529309E-23   -0.100000E+01    0.624538E+07    0.545078E-03    0.999455E+00
    0.160635E-06    0.226653E+00   -0.307535E-22    0.536179E-23   -0.100000E+01    0.622528E+07    0.546838E-03    0.999453E+00
    0.161154E-06    0.226653E+00   -0.310892E-22    0.543138E-23   -0.100000E+01    0.620524E+07    0.548603E-03    0.999451E+00
    0.161675E-06    0.226653E+00   -0.314278E-22    0.550187E-23   -0.100000E+01    0.618526E+07    0.550374E-03    0.999450E+00
    0.162197E-06    0.226653E+00   -0.317693E-22    0.557328E-23   -0.100000E+01    0.616535E+07    0.552150E-03    0.999448E+00
    0.162721E-06    0.226653E+00   -0.321138E-22    0.564562E-23   -0.100000E+01    0.614551E+07    0.553932E-03    0.999446E+00
    0.163246E-06    0.226653E+00   -0.324613E-22    0.571889E-23   -0.100000E+01    0.612572E+07    0.555720E-03    0.999444E+00
    0.163773E-06    0.226653E+00   -0.328118E-22    0.579311E-23   -0.100000E+01    0.610600E+07    0.557514E-03    0.999442E+00
    0.164302E-06    0.226653E+00   -0.331654E-22    0.586830E-23   -0.100000E+01    0.608635E+07    0.559313E-03    0.999441E+00
    0.164833E-06    0.226653E+00   -0.335221E-22    0.594446E-23   -0.100000E+01    0.606676E+07    0.561119E-03    0.999439E+00
    0.165365E-06    0.226653E+00   -0.338819E-22    0.602162E-23   -0.100000E+01    0.604723E+07    0.562930E-03    0.999437E+00
    0.165899E-06    0.226653E+00   -0.342449E-22    0.609977E-23   -0.100000E+01    0.602776E+07    0.564747E-03    0.999435E+00
    0.166435E-06    0.226653E+00   -0.346111E-22    0.617894E-23   -0.100000E+01    0.600836E+07    0.566569E-03    0.999433E+00
    0.166972E-06    0.226653E+00   -0.349806E-22    0.625913E-23   -0.100000E+01    0.598902E+07    0.568398E-03    0.999432E+00
    0.167512E-06    0.226653E+00   -0.353533E-22    0.634037E-23   -0.100000E+01    0.596974E+07    0.570233E-03    0.999430E+00
    0.168053E-06    0.226653E+00   -0.357293E-22    0.642266E-23   -0.100000E+01    0.595052E+07    0.572073E-03    0.999428E+00
    0.168595E-06    0.226653E+00   -0.361087E-22    0.650601E-23   -0.100000E+01    0.593136E+07    0.573920E-03    0.999426E+00
    0.169140E-06    0.226653E+00   -0.364914E-22    0.659045E-23   -0.100000E+01    0.591227E+07    0.575772E-03    0.999424E+00
    0.169686E-06    0.226653E+00   -0.368776E-22    0.667599E-23   -0.100000E+01    0.589324E+07    0.577630E-03    0.999422E+00
    0.170234E-06    0.226653E+00   -0.372672E-22    0.676264E-23   -0.100000E+01    0.587427E+07    0.579495E-03    0.999421E+00
    0.170784E-06    0.226653E+00   -0.376603E-22    0.685041E-23   -0.100000E+01    0.585536E+07    0.581365E-03    0.999419E+00
    0.171335E-06    0.226653E+00   -0.380569E-22    0.693931E-23   -0.100000E+01    0.583651E+07    0.583241E-03    0.999417E+00
    0.171889E-06    0.226653E+00   -0.384570E-22    0.702938E-23   -0.100000E+01    0.581772E+07    0.585124E-03    0.999415E+00
    0.172444E-06    0.226653E+00   -0.388608E-22    0.712061E-23   -0.100000E+01    0.579899E+07    0.587012E-03    0.999413E+00
    0.173001E-06    0.226653E+00   -0.392682E-22    0.721303E-23   -0.100000E+01    0.578033E+07    0.588907E-03    0.999411E+00
    0.173559E-06    0.226653E+00   -0.396793E-22    0.730664E-23   -0.100000E+01    0.576172E+07    0.590808E-03    0.999409E+00
    0.174120E-06    0.226653E+00   -0.400941E-22    0.740147E-23   -0.100000E+01    0.574317E+07    0.592715E-03    0.999407E+00
    0.174682E-06    0.226653E+00   -0.405126E-22    0.749753E-23   -0.100000E+01    0.572468E+07    0.594628E-03    0.999405E+00
    0.175246E-06    0.226653E+00   -0.409350E-22    0.759484E-23   -0.100000E+01    0.570626E+07    0.596547E-03    0.999403E+00
    0.175812E-06    0.226653E+00   -0.413611E-22    0.769341E-23   -0.100000E+01    0.568789E+07    0.598472E-03    0.999402E+00
    0.176380E-06    0.226653E+00   -0.417912E-22    0.779326E-23   -0.100000E+01    0.566958E+07    0.600404E-03    0.999400E+00
    0.176950E-06    0.226653E+00   -0.422251E-22    0.789441E-23   -0.100000E+01    0.565133E+07    0.602342E-03    0.999398E+00
    0.177521E-06    0.226653E+00   -0.426630E-22    0.799686E-23   -0.100000E+01    0.563313E+07    0.604286E-03    0.999396E+00
    0.178094E-06    0.226653E+00   -0.431049E-22    0.810065E-23   -0.100000E+01    0.561500E+07    0.606236E-03    0.999394E+00
    0.178669E-06    0.226653E+00   -0.435508E-22    0.820579E-23   -0.100000E+01    0.559693E+07    0.608193E-03    0.999392E+00
    0.179247E-06    0.226653E+00   -0.440008E-22    0.831229E-23   -0.100000E+01    0.557891E+07    0.610156E-03    0.999390E+00
    0.179825E-06    0.226653E+00   -0.444549E-22    0.842017E-23   -0.100000E+01    0.556095E+07    0.612125E-03    0.999388E+00
    0.180406E-06    0.226653E+00   -0.449131E-22    0.852945E-23   -0.100000E+01    0.554305E+07    0.614100E-03    0.999386E+00
    0.180989E-06    0.226653E+00   -0.453756E-22    0.864015E-23   -0.100000E+01    0.552521E+07    0.616082E-03    0.999384E+00
    0.181573E-06    0.226653E+00   -0.458423E-22    0.875229E-23   -0.100000E+01    0.550742E+07    0.618071E-03    0.999382E+00
    0.182160E-06    0.226653E+00   -0.463133E-22    0.886588E-23   -0.100000E+01    0.548969E+07    0.620066E-03    0.999380E+00
    0.182748E-06    0.226653E+00   -0.467886E-22    0.898095E-23   -0.100000E+01    0.547202E+07    0.622067E-03    0.999378E+00
    0.183338E-06    0.226653E+00   -0.472683E-22    0.909751E-23   -0.100000E+01    0.545440E+07    0.624075E-03    0.999376E+00
    0.183930E-06    0.226653E+00   -0.477525E-22    0.921558E-23   -0.100000E+01    0.543685E+07    0.626089E-03    0.999374E+00
    0.184524E-06    0.226653E+00   -0.482411E-22    0.933518E-23   -0.100000E+01    0.541934E+07    0.628109E-03    0.999372E+00
    0.185120E-06    0.226653E+00   -0.487342E-22    0.945634E-23   -0.100000E+01    0.540190E+07    0.630137E-03    0.999370E+00
    0.185718E-06    0.226653E+00   -0.492318E-22    0.957907E-23   -0.100000E+01    0.538451E+07    0.632170E-03    0.999368E+00
    0.186318E-06    0.226653E+00   -0.497341E-22    0.970339E-23   -0.100000E+01    0.536718E+07    0.634211E-03    0.999366E+00
    0.186919E-06    0.226653E+00   -0.502410E-22    0.982933E-23   -0.100000E+01    0.534990E+07    0.636257E-03    0.999364E+00
    0.187523E-06    0.226653E+00   -0.507526E-22    0.995690E-23   -0.100000E+01    0.533268E+07    0.638311E-03    0.999362E+00
