 initial_phi	Omega_de
   0.275000E-18   0.306910+120
   0.276000E-18   0.306910+120
   0.277000E-18   0.306910+120
   0.278000E-18   0.306910+120
   0.279000E-18   0.306910+120
   0.280000E-18   0.306910+120
   0.281000E-18   0.306910+120
   0.282000E-18   0.306910+120
   0.283000E-18   0.306910+120
   0.284000E-18   0.306910+120
   0.285000E-18   0.306910+120
   0.286000E-18   0.306910+120
   0.287000E-18   0.306910+120
   0.288000E-18   0.306910+120
   0.289000E-18   0.306910+120
   0.290000E-18   0.306910+120
   0.291000E-18   0.306910+120
   0.292000E-18   0.306910+120
   0.293000E-18   0.306910+120
   0.294000E-18   0.306910+120
   0.295000E-18   0.306910+120
   0.296000E-18   0.306910+120
   0.297000E-18   0.306910+120
   0.298000E-18   0.306910+120
   0.299000E-18   0.306910+120
   0.300000E-18   0.306910+120
   0.301000E-18   0.306910+120
   0.302000E-18   0.306910+120
   0.303000E-18   0.306910+120
   0.304000E-18   0.306910+120
   0.305000E-18   0.306910+120
   0.306000E-18   0.306910+120
   0.307000E-18   0.306910+120
   0.308000E-18   0.306910+120
   0.309000E-18   0.306910+120
   0.310000E-18   0.306910+120
   0.311000E-18   0.306910+120
   0.312000E-18   0.306910+120
   0.313000E-18   0.306910+120
   0.314000E-18   0.306910+120
   0.315000E-18   0.306910+120
   0.316000E-18   0.306910+120
   0.317000E-18   0.306910+120
   0.318000E-18   0.306910+120
   0.319000E-18   0.306910+120
   0.320000E-18   0.306910+120
   0.321000E-18   0.306910+120
   0.322000E-18   0.306910+120
   0.323000E-18   0.306910+120
   0.324000E-18   0.306910+120
   0.325000E-18   0.306910+120
   0.326000E-18   0.306910+120
   0.327000E-18   0.306910+120
   0.328000E-18   0.306910+120
   0.329000E-18   0.306910+120
   0.330000E-18   0.306910+120
   0.331000E-18   0.306910+120
   0.332000E-18   0.306910+120
   0.333000E-18   0.306910+120
   0.334000E-18   0.306910+120
   0.335000E-18   0.306910+120
   0.336000E-18   0.306910+120
   0.337000E-18   0.306910+120
   0.338000E-18   0.306910+120
   0.339000E-18   0.306910+120
   0.340000E-18   0.306910+120
   0.341000E-18   0.306910+120
   0.342000E-18   0.306910+120
   0.343000E-18   0.306910+120
   0.344000E-18   0.306910+120
   0.345000E-18   0.306910+120
   0.346000E-18   0.306910+120
   0.347000E-18   0.306910+120
   0.348000E-18   0.306910+120
   0.349000E-18   0.306910+120
   0.350000E-18   0.306910+120
   0.351000E-18   0.306910+120
   0.352000E-18   0.306910+120
   0.353000E-18   0.306910+120
   0.354000E-18   0.306910+120
   0.355000E-18   0.306910+120
   0.356000E-18   0.306910+120
