 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.141654E-06    0.907807E+01    0.156848E-23    0.301370E-23   -0.100000E+01    0.705943E+07    0.480595E-03    0.999519E+00
    0.142112E-06    0.907807E+01    0.158801E-23    0.305281E-23   -0.100000E+01    0.703671E+07    0.482147E-03    0.999518E+00
    0.142571E-06    0.907807E+01    0.160769E-23    0.309243E-23   -0.100000E+01    0.701406E+07    0.483703E-03    0.999516E+00
    0.143031E-06    0.907807E+01    0.162752E-23    0.313257E-23   -0.100000E+01    0.699148E+07    0.485264E-03    0.999515E+00
    0.143493E-06    0.907807E+01    0.164750E-23    0.317323E-23   -0.100000E+01    0.696897E+07    0.486831E-03    0.999513E+00
    0.143957E-06    0.907807E+01    0.166764E-23    0.321441E-23   -0.100000E+01    0.694654E+07    0.488402E-03    0.999512E+00
    0.144422E-06    0.907807E+01    0.168793E-23    0.325613E-23   -0.100000E+01    0.692418E+07    0.489979E-03    0.999510E+00
    0.144888E-06    0.907807E+01    0.170838E-23    0.329839E-23   -0.100000E+01    0.690189E+07    0.491560E-03    0.999508E+00
    0.145356E-06    0.907807E+01    0.172899E-23    0.334120E-23   -0.100000E+01    0.687967E+07    0.493147E-03    0.999507E+00
    0.145825E-06    0.907807E+01    0.174976E-23    0.338457E-23   -0.100000E+01    0.685752E+07    0.494739E-03    0.999505E+00
    0.146296E-06    0.907807E+01    0.177070E-23    0.342850E-23   -0.100000E+01    0.683545E+07    0.496336E-03    0.999504E+00
    0.146769E-06    0.907807E+01    0.179180E-23    0.347299E-23   -0.100000E+01    0.681344E+07    0.497938E-03    0.999502E+00
    0.147243E-06    0.907807E+01    0.181307E-23    0.351807E-23   -0.100000E+01    0.679151E+07    0.499545E-03    0.999500E+00
    0.147718E-06    0.907807E+01    0.183450E-23    0.356373E-23   -0.100000E+01    0.676965E+07    0.501157E-03    0.999499E+00
    0.148195E-06    0.907807E+01    0.185611E-23    0.360998E-23   -0.100000E+01    0.674786E+07    0.502775E-03    0.999497E+00
    0.148674E-06    0.907807E+01    0.187790E-23    0.365684E-23   -0.100000E+01    0.672613E+07    0.504398E-03    0.999496E+00
    0.149154E-06    0.907807E+01    0.189985E-23    0.370430E-23   -0.100000E+01    0.670448E+07    0.506026E-03    0.999494E+00
    0.149636E-06    0.907807E+01    0.192199E-23    0.375238E-23   -0.100000E+01    0.668290E+07    0.507659E-03    0.999492E+00
    0.150119E-06    0.907807E+01    0.194431E-23    0.380108E-23   -0.100000E+01    0.666139E+07    0.509298E-03    0.999491E+00
    0.150604E-06    0.907807E+01    0.196681E-23    0.385041E-23   -0.100000E+01    0.663994E+07    0.510942E-03    0.999489E+00
    0.151090E-06    0.907807E+01    0.198949E-23    0.390039E-23   -0.100000E+01    0.661857E+07    0.512591E-03    0.999487E+00
    0.151578E-06    0.907807E+01    0.201236E-23    0.395101E-23   -0.100000E+01    0.659726E+07    0.514246E-03    0.999486E+00
    0.152068E-06    0.907807E+01    0.203541E-23    0.400229E-23   -0.100000E+01    0.657603E+07    0.515906E-03    0.999484E+00
    0.152559E-06    0.907807E+01    0.205866E-23    0.405424E-23   -0.100000E+01    0.655486E+07    0.517571E-03    0.999482E+00
    0.153051E-06    0.907807E+01    0.208210E-23    0.410686E-23   -0.100000E+01    0.653376E+07    0.519241E-03    0.999481E+00
    0.153546E-06    0.907807E+01    0.210573E-23    0.416016E-23   -0.100000E+01    0.651273E+07    0.520917E-03    0.999479E+00
    0.154041E-06    0.907807E+01    0.212956E-23    0.421415E-23   -0.100000E+01    0.649176E+07    0.522599E-03    0.999477E+00
    0.154539E-06    0.907807E+01    0.215359E-23    0.426885E-23   -0.100000E+01    0.647086E+07    0.524286E-03    0.999476E+00
    0.155038E-06    0.907807E+01    0.217783E-23    0.432425E-23   -0.100000E+01    0.645003E+07    0.525978E-03    0.999474E+00
    0.155539E-06    0.907807E+01    0.220226E-23    0.438038E-23   -0.100000E+01    0.642927E+07    0.527676E-03    0.999472E+00
    0.156041E-06    0.907807E+01    0.222690E-23    0.443723E-23   -0.100000E+01    0.640857E+07    0.529379E-03    0.999471E+00
    0.156545E-06    0.907807E+01    0.225175E-23    0.449482E-23   -0.100000E+01    0.638794E+07    0.531088E-03    0.999469E+00
    0.157050E-06    0.907807E+01    0.227681E-23    0.455316E-23   -0.100000E+01    0.636738E+07    0.532802E-03    0.999467E+00
    0.157558E-06    0.907807E+01    0.230209E-23    0.461225E-23   -0.100000E+01    0.634688E+07    0.534522E-03    0.999465E+00
    0.158066E-06    0.907807E+01    0.232758E-23    0.467211E-23   -0.100000E+01    0.632645E+07    0.536247E-03    0.999464E+00
    0.158577E-06    0.907807E+01    0.235328E-23    0.473275E-23   -0.100000E+01    0.630609E+07    0.537978E-03    0.999462E+00
    0.159089E-06    0.907807E+01    0.237921E-23    0.479418E-23   -0.100000E+01    0.628579E+07    0.539714E-03    0.999460E+00
    0.159603E-06    0.907807E+01    0.240536E-23    0.485640E-23   -0.100000E+01    0.626555E+07    0.541456E-03    0.999459E+00
    0.160118E-06    0.907807E+01    0.243173E-23    0.491943E-23   -0.100000E+01    0.624538E+07    0.543204E-03    0.999457E+00
    0.160635E-06    0.907807E+01    0.245834E-23    0.498328E-23   -0.100000E+01    0.622528E+07    0.544957E-03    0.999455E+00
    0.161154E-06    0.907807E+01    0.248517E-23    0.504795E-23   -0.100000E+01    0.620524E+07    0.546716E-03    0.999453E+00
    0.161675E-06    0.907807E+01    0.251223E-23    0.511347E-23   -0.100000E+01    0.618526E+07    0.548481E-03    0.999452E+00
    0.162197E-06    0.907807E+01    0.253953E-23    0.517984E-23   -0.100000E+01    0.616535E+07    0.550251E-03    0.999450E+00
    0.162721E-06    0.907807E+01    0.256707E-23    0.524707E-23   -0.100000E+01    0.614551E+07    0.552027E-03    0.999448E+00
    0.163246E-06    0.907807E+01    0.259484E-23    0.531517E-23   -0.100000E+01    0.612572E+07    0.553809E-03    0.999446E+00
    0.163773E-06    0.907807E+01    0.262286E-23    0.538415E-23   -0.100000E+01    0.610600E+07    0.555596E-03    0.999444E+00
    0.164302E-06    0.907807E+01    0.265113E-23    0.545403E-23   -0.100000E+01    0.608635E+07    0.557390E-03    0.999443E+00
    0.164833E-06    0.907807E+01    0.267964E-23    0.552482E-23   -0.100000E+01    0.606676E+07    0.559189E-03    0.999441E+00
