#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    80   0.211652E+04  -0.107162E+02   0.474374E-03  -0.107162E+02   0.467736E+00  -0.599530E-06   0.474374E-03  -0.599530E-06   0.114738E-06
    81   0.214333E+04  -0.112748E+02   0.467801E-03  -0.112748E+02   0.482664E+00  -0.618574E-06   0.467801E-03  -0.618574E-06   0.114057E-06
    82   0.217041E+04  -0.118425E+02   0.461318E-03  -0.118425E+02   0.497705E+00  -0.662200E-06   0.461318E-03  -0.662200E-06   0.113378E-06
    83   0.219774E+04  -0.124190E+02   0.454938E-03  -0.124190E+02   0.512847E+00  -0.722771E-06   0.454938E-03  -0.722771E-06   0.112700E-06
    84   0.222532E+04  -0.130039E+02   0.448674E-03  -0.130039E+02   0.528081E+00  -0.792652E-06   0.448674E-03  -0.792652E-06   0.112024E-06
    85   0.225313E+04  -0.135969E+02   0.442540E-03  -0.135969E+02   0.543394E+00  -0.864206E-06   0.442540E-03  -0.864206E-06   0.111350E-06
    86   0.228118E+04  -0.141974E+02   0.436546E-03  -0.141974E+02   0.558778E+00  -0.930976E-06   0.436546E-03  -0.930976E-06   0.110679E-06
    87   0.230943E+04  -0.148050E+02   0.430694E-03  -0.148050E+02   0.574218E+00  -0.991215E-06   0.430694E-03  -0.991215E-06   0.110009E-06
    88   0.233787E+04  -0.154191E+02   0.424980E-03  -0.154191E+02   0.589702E+00  -0.104435E-05   0.424980E-03  -0.104435E-05   0.109342E-06
    89   0.236650E+04  -0.160392E+02   0.419403E-03  -0.160392E+02   0.605216E+00  -0.108982E-05   0.419403E-03  -0.108982E-05   0.108678E-06
    90   0.239533E+04  -0.166652E+02   0.413962E-03  -0.166652E+02   0.620745E+00  -0.112705E-05   0.413962E-03  -0.112705E-05   0.108017E-06
    91   0.242437E+04  -0.172964E+02   0.408653E-03  -0.172964E+02   0.636274E+00  -0.115568E-05   0.408653E-03  -0.115568E-05   0.107358E-06
    92   0.245361E+04  -0.179328E+02   0.403473E-03  -0.179328E+02   0.651788E+00  -0.117618E-05   0.403473E-03  -0.117618E-05   0.106703E-06
    93   0.248307E+04  -0.185736E+02   0.398417E-03  -0.185736E+02   0.667273E+00  -0.118920E-05   0.398417E-03  -0.118920E-05   0.106051E-06
    94   0.251275E+04  -0.192189E+02   0.393480E-03  -0.192189E+02   0.682716E+00  -0.119543E-05   0.393480E-03  -0.119543E-05   0.105401E-06
    95   0.254266E+04  -0.198679E+02   0.388660E-03  -0.198679E+02   0.698102E+00  -0.119552E-05   0.388660E-03  -0.119552E-05   0.104755E-06
    96   0.257279E+04  -0.205203E+02   0.383951E-03  -0.205203E+02   0.713417E+00  -0.119016E-05   0.383951E-03  -0.119016E-05   0.104112E-06
    97   0.260315E+04  -0.211757E+02   0.379348E-03  -0.211757E+02   0.728647E+00  -0.118001E-05   0.379348E-03  -0.118001E-05   0.103472E-06
    98   0.263374E+04  -0.218336E+02   0.374848E-03  -0.218336E+02   0.743775E+00  -0.116574E-05   0.374848E-03  -0.116574E-05   0.102836E-06
    99   0.266453E+04  -0.224935E+02   0.370446E-03  -0.224935E+02   0.758789E+00  -0.114802E-05   0.370446E-03  -0.114802E-05   0.102203E-06
   100   0.269556E+04  -0.231550E+02   0.366138E-03  -0.231550E+02   0.773676E+00  -0.112752E-05   0.366138E-03  -0.112752E-05   0.101574E-06
   101   0.272680E+04  -0.238174E+02   0.361920E-03  -0.238174E+02   0.788422E+00  -0.110490E-05   0.361920E-03  -0.110490E-05   0.100947E-06
