#    L    TT             EE             BB             TE             PP             TP             EP          
    74   0.196600E+04   0.384292E+00   0.000000E+00  -0.768458E+01   0.117477E-06   0.536078E-03  -0.976772E-06
    75   0.199156E+04   0.398394E+00   0.000000E+00  -0.818570E+01   0.116806E-06   0.528237E-03  -0.890218E-06
    76   0.201744E+04   0.412674E+00   0.000000E+00  -0.869857E+01   0.116134E-06   0.520641E-03  -0.802348E-06
    77   0.204350E+04   0.427123E+00   0.000000E+00  -0.922174E+01   0.115461E-06   0.513267E-03  -0.718798E-06
    78   0.206974E+04   0.441728E+00   0.000000E+00  -0.975475E+01   0.114787E-06   0.506094E-03  -0.644177E-06
    79   0.209619E+04   0.456478E+00   0.000000E+00  -0.102975E+02   0.114114E-06   0.499102E-03  -0.583092E-06
    80   0.212288E+04   0.471360E+00   0.000000E+00  -0.108499E+02   0.113441E-06   0.492267E-03  -0.540145E-06
    81   0.214983E+04   0.486365E+00   0.000000E+00  -0.114118E+02   0.112768E-06   0.485571E-03  -0.518831E-06
    82   0.217706E+04   0.501480E+00   0.000000E+00  -0.119828E+02   0.112097E-06   0.478993E-03  -0.518230E-06
    83   0.220453E+04   0.516694E+00   0.000000E+00  -0.125626E+02   0.111428E-06   0.472517E-03  -0.536316E-06
    84   0.223224E+04   0.531995E+00   0.000000E+00  -0.131509E+02   0.110760E-06   0.466125E-03  -0.571070E-06
    85   0.226020E+04   0.547372E+00   0.000000E+00  -0.137473E+02   0.110094E-06   0.459799E-03  -0.620473E-06
    86   0.228839E+04   0.562815E+00   0.000000E+00  -0.143514E+02   0.109430E-06   0.453528E-03  -0.682031E-06
    87   0.231678E+04   0.578309E+00   0.000000E+00  -0.149626E+02   0.108768E-06   0.447327E-03  -0.751343E-06
    88   0.234536E+04   0.593843E+00   0.000000E+00  -0.155803E+02   0.108109E-06   0.441219E-03  -0.823535E-06
    89   0.237413E+04   0.609404E+00   0.000000E+00  -0.162042E+02   0.107452E-06   0.435224E-03  -0.893737E-06
    90   0.240309E+04   0.624974E+00   0.000000E+00  -0.168338E+02   0.106798E-06   0.429364E-03  -0.957082E-06
