#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.135179E-02   0.193379E+08   0.193357E+08   0.364994E+06   0.364492E+06   0.187782E+08   0.193350E+08   0.193375E+08   0.192823E+08  -0.463034E+00   0.101896E+08   0.101891E+08   0.130970E+03
   0.149259E-02   0.192814E+08   0.192792E+08   0.238255E+06   0.229213E+06   0.186163E+08   0.192780E+08   0.192810E+08   0.192312E+08  -0.461451E+00   0.101596E+08   0.101591E+08   0.117541E+03
   0.164805E-02   0.192173E+08   0.192151E+08   0.224825E+06  -0.170498E+06   0.184316E+08   0.192134E+08   0.192170E+08   0.191724E+08  -0.459724E+00   0.101256E+08   0.101251E+08   0.104614E+03
   0.181971E-02   0.191448E+08   0.191425E+08   0.189874E+06  -0.138950E+06   0.182223E+08   0.191403E+08   0.191444E+08   0.191049E+08  -0.457828E+00   0.100872E+08   0.100867E+08   0.928645E+02
   0.200924E-02   0.190627E+08   0.190604E+08   0.937312E+05  -0.113247E+06   0.179873E+08   0.190575E+08   0.190624E+08   0.190273E+08  -0.455732E+00   0.100438E+08   0.100433E+08   0.827295E+02
   0.221852E-02   0.189700E+08   0.189677E+08   0.540497E+05  -0.922888E+05   0.177256E+08   0.189641E+08   0.189697E+08   0.189385E+08  -0.453404E+00   0.999482E+07   0.999432E+07   0.742700E+02
   0.244959E-02   0.188655E+08   0.188630E+08   0.610063E+05  -0.751894E+05   0.174367E+08   0.188587E+08   0.188651E+08   0.188372E+08  -0.450811E+00   0.993954E+07   0.993904E+07   0.672493E+02
   0.270473E-02   0.187479E+08   0.187453E+08   0.256837E+05  -0.612315E+05   0.171207E+08   0.187401E+08   0.187475E+08   0.187222E+08  -0.447920E+00   0.987733E+07   0.987683E+07   0.612191E+02
   0.298645E-02   0.186159E+08   0.186131E+08   0.251975E+05  -0.498360E+05   0.167774E+08   0.186072E+08   0.186155E+08   0.185923E+08  -0.444696E+00   0.980751E+07   0.980701E+07   0.556442E+02
   0.329750E-02   0.184682E+08   0.184652E+08   0.116640E+05  -0.405321E+05   0.164063E+08   0.184584E+08   0.184677E+08   0.184461E+08  -0.441105E+00   0.972938E+07   0.972889E+07   0.502506E+02
