#    L    TT             EE             BB             TE          
   165   0.486278E+04   0.981175E+00   0.884262E-02  -0.437172E+02
   166   0.489151E+04   0.971087E+00   0.896165E-02  -0.433469E+02
   167   0.491988E+04   0.960806E+00   0.908169E-02  -0.429491E+02
   168   0.494789E+04   0.950356E+00   0.920272E-02  -0.425238E+02
   169   0.497554E+04   0.939760E+00   0.932475E-02  -0.420708E+02
   170   0.500281E+04   0.929032E+00   0.944778E-02  -0.415902E+02
   171   0.502969E+04   0.918204E+00   0.957181E-02  -0.410818E+02
   172   0.505619E+04   0.907297E+00   0.969682E-02  -0.405457E+02
   173   0.508228E+04   0.896334E+00   0.982283E-02  -0.399817E+02
   174   0.510796E+04   0.885339E+00   0.994982E-02  -0.393900E+02
   175   0.513322E+04   0.874349E+00   0.100778E-01  -0.387706E+02
   176   0.515806E+04   0.863380E+00   0.102067E-01  -0.381234E+02
   177   0.518245E+04   0.852468E+00   0.103366E-01  -0.374486E+02
   178   0.520640E+04   0.841637E+00   0.104675E-01  -0.367461E+02
   179   0.522990E+04   0.830911E+00   0.105993E-01  -0.360161E+02
   180   0.525293E+04   0.820327E+00   0.107321E-01  -0.352586E+02
   181   0.527550E+04   0.809915E+00   0.108659E-01  -0.344738E+02
   182   0.529759E+04   0.799705E+00   0.110005E-01  -0.336619E+02
   183   0.531920E+04   0.789722E+00   0.111361E-01  -0.328229E+02
   184   0.534033E+04   0.780002E+00   0.112726E-01  -0.319572E+02
   185   0.536095E+04   0.770584E+00   0.114101E-01  -0.310647E+02
   186   0.538107E+04   0.761489E+00   0.115484E-01  -0.301457E+02
   187   0.540069E+04   0.752751E+00   0.116877E-01  -0.292004E+02
   188   0.541979E+04   0.744408E+00   0.118278E-01  -0.282291E+02
   189   0.543836E+04   0.736494E+00   0.119688E-01  -0.272319E+02
   190   0.545640E+04   0.729042E+00   0.121107E-01  -0.262091E+02
   191   0.547391E+04   0.722086E+00   0.122535E-01  -0.251612E+02
   192   0.549087E+04   0.715661E+00   0.123971E-01  -0.240881E+02
   193   0.550727E+04   0.709800E+00   0.125415E-01  -0.229901E+02
   194   0.552312E+04   0.704541E+00   0.126868E-01  -0.218678E+02
   195   0.553841E+04   0.699919E+00   0.128329E-01  -0.207214E+02
   196   0.555314E+04   0.695971E+00   0.129798E-01  -0.195514E+02
   197   0.556731E+04   0.692734E+00   0.131275E-01  -0.183580E+02
   198   0.558091E+04   0.690245E+00   0.132760E-01  -0.171416E+02
   199   0.559393E+04   0.688539E+00   0.134253E-01  -0.159026E+02
   200   0.560638E+04   0.687653E+00   0.135753E-01  -0.146416E+02
   201   0.561825E+04   0.687626E+00   0.137261E-01  -0.133586E+02
   202   0.562953E+04   0.688492E+00   0.138777E-01  -0.120544E+02
   203   0.564020E+04   0.690289E+00   0.140300E-01  -0.107292E+02
   204   0.565026E+04   0.693052E+00   0.141830E-01  -0.938347E+01
   205   0.565968E+04   0.696818E+00   0.143367E-01  -0.801775E+01
   206   0.566849E+04   0.701624E+00   0.144911E-01  -0.663238E+01
   207   0.567664E+04   0.707505E+00   0.146461E-01  -0.522778E+01
