 a		phi		phidot		fde
    0.299458E+00    0.155000E+00   -0.137597-123    0.713343-121
    0.299658E+00    0.155000E+00   -0.137826-123    0.714772-121
    0.299858E+00    0.155000E+00   -0.138056-123    0.716203-121
    0.300057E+00    0.155000E+00   -0.138286-123    0.717636-121
    0.300257E+00    0.155000E+00   -0.138517-123    0.719071-121
    0.300457E+00    0.155000E+00   -0.138747-123    0.720508-121
    0.300657E+00    0.155000E+00   -0.138978-123    0.721947-121
    0.300857E+00    0.155000E+00   -0.139209-123    0.723388-121
    0.301056E+00    0.155000E+00   -0.139441-123    0.724831-121
    0.301256E+00    0.155000E+00   -0.139672-123    0.726275-121
    0.301456E+00    0.155000E+00   -0.139904-123    0.727722-121
    0.301656E+00    0.155000E+00   -0.140136-123    0.729170-121
    0.301856E+00    0.155000E+00   -0.140368-123    0.730620-121
    0.302056E+00    0.155000E+00   -0.140601-123    0.732073-121
    0.302255E+00    0.155000E+00   -0.140833-123    0.733527-121
    0.302455E+00    0.155000E+00   -0.141066-123    0.734983-121
    0.302655E+00    0.155000E+00   -0.141299-123    0.736441-121
    0.302855E+00    0.155000E+00   -0.141533-123    0.737901-121
    0.303055E+00    0.155000E+00   -0.141766-123    0.739363-121
    0.303254E+00    0.155000E+00   -0.142000-123    0.740827-121
    0.303454E+00    0.155000E+00   -0.142234-123    0.742293-121
    0.303654E+00    0.155000E+00   -0.142469-123    0.743760-121
    0.303854E+00    0.155000E+00   -0.142703-123    0.745230-121
    0.304054E+00    0.155000E+00   -0.142938-123    0.746702-121
    0.304253E+00    0.155000E+00   -0.143173-123    0.748175-121
    0.304453E+00    0.155000E+00   -0.143408-123    0.749651-121
    0.304653E+00    0.155000E+00   -0.143644-123    0.751128-121
    0.304853E+00    0.155000E+00   -0.143879-123    0.752607-121
    0.305053E+00    0.155000E+00   -0.144115-123    0.754089-121
    0.305253E+00    0.155000E+00   -0.144351-123    0.755572-121
    0.305452E+00    0.155000E+00   -0.144588-123    0.757057-121
    0.305652E+00    0.155000E+00   -0.144824-123    0.758544-121
    0.305852E+00    0.155000E+00   -0.145061-123    0.760033-121
    0.306052E+00    0.155000E+00   -0.145298-123    0.761524-121
    0.306252E+00    0.155000E+00   -0.145536-123    0.763017-121
    0.306451E+00    0.155000E+00   -0.145773-123    0.764512-121
    0.306651E+00    0.155000E+00   -0.146011-123    0.766009-121
    0.306851E+00    0.155000E+00   -0.146249-123    0.767507-121
    0.307051E+00    0.155000E+00   -0.146487-123    0.769008-121
    0.307251E+00    0.155000E+00   -0.146726-123    0.770511-121
    0.307450E+00    0.155000E+00   -0.146964-123    0.772016-121
    0.307650E+00    0.155000E+00   -0.147203-123    0.773522-121
    0.307850E+00    0.155000E+00   -0.147443-123    0.775031-121
    0.308050E+00    0.155000E+00   -0.147682-123    0.776541-121
    0.308250E+00    0.155000E+00   -0.147922-123    0.778054-121
    0.308450E+00    0.155000E+00   -0.148162-123    0.779568-121
    0.308649E+00    0.155000E+00   -0.148402-123    0.781085-121
    0.308849E+00    0.155000E+00   -0.148642-123    0.782603-121
    0.309049E+00    0.155000E+00   -0.148883-123    0.784123-121
    0.309249E+00    0.155000E+00   -0.149123-123    0.785646-121
    0.309449E+00    0.155000E+00   -0.149364-123    0.787170-121
    0.309648E+00    0.155000E+00   -0.149606-123    0.788696-121
    0.309848E+00    0.155000E+00   -0.149847-123    0.790225-121
    0.310048E+00    0.155000E+00   -0.150089-123    0.791755-121
    0.310248E+00    0.155000E+00   -0.150331-123    0.793287-121
    0.310448E+00    0.155000E+00   -0.150573-123    0.794821-121
    0.310647E+00    0.155000E+00   -0.150816-123    0.796357-121
    0.310847E+00    0.155000E+00   -0.151058-123    0.797895-121
    0.311047E+00    0.155000E+00   -0.151301-123    0.799435-121
    0.311247E+00    0.155000E+00   -0.151544-123    0.800978-121
    0.311447E+00    0.155000E+00   -0.151788-123    0.802522-121
    0.311647E+00    0.155000E+00   -0.152031-123    0.804068-121
    0.311846E+00    0.155000E+00   -0.152275-123    0.805616-121
    0.312046E+00    0.155000E+00   -0.152519-123    0.807166-121
    0.312246E+00    0.155000E+00   -0.152764-123    0.808718-121
    0.312446E+00    0.155000E+00   -0.153008-123    0.810272-121
    0.312646E+00    0.155000E+00   -0.153253-123    0.811828-121
    0.312845E+00    0.155000E+00   -0.153498-123    0.813386-121
    0.313045E+00    0.155000E+00   -0.153743-123    0.814946-121
    0.313245E+00    0.155000E+00   -0.153989-123    0.816507-121
    0.313445E+00    0.155000E+00   -0.154235-123    0.818071-121
    0.313645E+00    0.155000E+00   -0.154481-123    0.819637-121
    0.313844E+00    0.155000E+00   -0.154727-123    0.821205-121
    0.314044E+00    0.155000E+00   -0.154973-123    0.822775-121
    0.314244E+00    0.155000E+00   -0.155220-123    0.824347-121
    0.314444E+00    0.155000E+00   -0.155467-123    0.825921-121
    0.314644E+00    0.155000E+00   -0.155714-123    0.827497-121
    0.314844E+00    0.155000E+00   -0.155961-123    0.829075-121
    0.315043E+00    0.155000E+00   -0.156209-123    0.830655-121
    0.315243E+00    0.155000E+00   -0.156457-123    0.832237-121
    0.315443E+00    0.155000E+00   -0.156705-123    0.833821-121
    0.315643E+00    0.155000E+00   -0.156953-123    0.835407-121
    0.315843E+00    0.155000E+00   -0.157202-123    0.836995-121
    0.316042E+00    0.155000E+00   -0.157451-123    0.838585-121
    0.316242E+00    0.155000E+00   -0.157700-123    0.840177-121
    0.316442E+00    0.155000E+00   -0.157949-123    0.841771-121
    0.316642E+00    0.155000E+00   -0.158198-123    0.843367-121
    0.316842E+00    0.155000E+00   -0.158448-123    0.844965-121
    0.317041E+00    0.155000E+00   -0.158698-123    0.846565-121
    0.317241E+00    0.155000E+00   -0.158948-123    0.848167-121
    0.317441E+00    0.155000E+00   -0.159199-123    0.849771-121
    0.317641E+00    0.155000E+00   -0.159450-123    0.851377-121
    0.317841E+00    0.155000E+00   -0.159700-123    0.852985-121
    0.318041E+00    0.155000E+00   -0.159952-123    0.854595-121
    0.318240E+00    0.155000E+00   -0.160203-123    0.856208-121
    0.318440E+00    0.155000E+00   -0.160455-123    0.857822-121
    0.318640E+00    0.155000E+00   -0.160707-123    0.859438-121
    0.318840E+00    0.155000E+00   -0.160959-123    0.861056-121
    0.319040E+00    0.155000E+00   -0.161211-123    0.862677-121
    0.319239E+00    0.155000E+00   -0.161464-123    0.864299-121
    0.319439E+00    0.155000E+00   -0.161716-123    0.865923-121
    0.319639E+00    0.155000E+00   -0.161969-123    0.867550-121
    0.319839E+00    0.155000E+00   -0.162223-123    0.869178-121
    0.320039E+00    0.155000E+00   -0.162476-123    0.870809-121
    0.320238E+00    0.155000E+00   -0.162730-123    0.872441-121
    0.320438E+00    0.155000E+00   -0.162984-123    0.874076-121
    0.320638E+00    0.155000E+00   -0.163238-123    0.875712-121
    0.320838E+00    0.155000E+00   -0.163493-123    0.877351-121
    0.321038E+00    0.155000E+00   -0.163748-123    0.878992-121
    0.321238E+00    0.155000E+00   -0.164003-123    0.880634-121
    0.321437E+00    0.155000E+00   -0.164258-123    0.882279-121
    0.321637E+00    0.155000E+00   -0.164513-123    0.883926-121
    0.321837E+00    0.155000E+00   -0.164769-123    0.885575-121
    0.322037E+00    0.155000E+00   -0.165025-123    0.887226-121
    0.322237E+00    0.155000E+00   -0.165281-123    0.888879-121
    0.322436E+00    0.155000E+00   -0.165537-123    0.890534-121
    0.322636E+00    0.155000E+00   -0.165794-123    0.892191-121
    0.322836E+00    0.155000E+00   -0.166051-123    0.893850-121
    0.323036E+00    0.155000E+00   -0.166308-123    0.895511-121
    0.323236E+00    0.155000E+00   -0.166565-123    0.897174-121
    0.323435E+00    0.155000E+00   -0.166823-123    0.898840-121
    0.323635E+00    0.155000E+00   -0.167081-123    0.900507-121
    0.323835E+00    0.155000E+00   -0.167339-123    0.902176-121
    0.324035E+00    0.155000E+00   -0.167597-123    0.903848-121
    0.324235E+00    0.155000E+00   -0.167856-123    0.905521-121
    0.324435E+00    0.155000E+00   -0.168114-123    0.907197-121
    0.324634E+00    0.155000E+00   -0.168373-123    0.908875-121
    0.324834E+00    0.155000E+00   -0.168633-123    0.910554-121
    0.325034E+00    0.155000E+00   -0.168892-123    0.912236-121
    0.325234E+00    0.155000E+00   -0.169152-123    0.913920-121
    0.325434E+00    0.155000E+00   -0.169412-123    0.915606-121
    0.325633E+00    0.155000E+00   -0.169672-123    0.917294-121
    0.325833E+00    0.155000E+00   -0.169933-123    0.918984-121
    0.326033E+00    0.155000E+00   -0.170193-123    0.920676-121
    0.326233E+00    0.155000E+00   -0.170454-123    0.922371-121
    0.326433E+00    0.155000E+00   -0.170715-123    0.924067-121
    0.326632E+00    0.155000E+00   -0.170977-123    0.925765-121
    0.326832E+00    0.155000E+00   -0.171238-123    0.927466-121
    0.327032E+00    0.155000E+00   -0.171500-123    0.929168-121
    0.327232E+00    0.155000E+00   -0.171762-123    0.930873-121
    0.327432E+00    0.155000E+00   -0.172025-123    0.932580-121
    0.327632E+00    0.155000E+00   -0.172287-123    0.934288-121
    0.327831E+00    0.155000E+00   -0.172550-123    0.935999-121
    0.328031E+00    0.155000E+00   -0.172813-123    0.937712-121
    0.328231E+00    0.155000E+00   -0.173077-123    0.939427-121
    0.328431E+00    0.155000E+00   -0.173340-123    0.941145-121
    0.328631E+00    0.155000E+00   -0.173604-123    0.942864-121
    0.328830E+00    0.155000E+00   -0.173868-123    0.944585-121
    0.329030E+00    0.155000E+00   -0.174132-123    0.946309-121
    0.329230E+00    0.155000E+00   -0.174397-123    0.948034-121
    0.329430E+00    0.155000E+00   -0.174662-123    0.949762-121
    0.329630E+00    0.155000E+00   -0.174927-123    0.951491-121
    0.329829E+00    0.155000E+00   -0.175192-123    0.953223-121
    0.330029E+00    0.155000E+00   -0.175458-123    0.954957-121
    0.330229E+00    0.155000E+00   -0.175723-123    0.956693-121
    0.330429E+00    0.155000E+00   -0.175989-123    0.958431-121
    0.330629E+00    0.155000E+00   -0.176256-123    0.960172-121
    0.330829E+00    0.155000E+00   -0.176522-123    0.961914-121
    0.331028E+00    0.155000E+00   -0.176789-123    0.963658-121
    0.331228E+00    0.155000E+00   -0.177056-123    0.965405-121
    0.331428E+00    0.155000E+00   -0.177323-123    0.967154-121
    0.331628E+00    0.155000E+00   -0.177590-123    0.968904-121
    0.331828E+00    0.155000E+00   -0.177858-123    0.970657-121
    0.332027E+00    0.155000E+00   -0.178126-123    0.972412-121
    0.332227E+00    0.155000E+00   -0.178394-123    0.974169-121
    0.332427E+00    0.155000E+00   -0.178663-123    0.975928-121
    0.332627E+00    0.155000E+00   -0.178931-123    0.977690-121
    0.332827E+00    0.155000E+00   -0.179200-123    0.979453-121
    0.333026E+00    0.155000E+00   -0.179469-123    0.981219-121
    0.333226E+00    0.155000E+00   -0.179739-123    0.982987-121
    0.333426E+00    0.155000E+00   -0.180008-123    0.984756-121
    0.333626E+00    0.155000E+00   -0.180278-123    0.986528-121
    0.333826E+00    0.155000E+00   -0.180548-123    0.988302-121
    0.334026E+00    0.155000E+00   -0.180818-123    0.990079-121
    0.334225E+00    0.155000E+00   -0.181089-123    0.991857-121
    0.334425E+00    0.155000E+00   -0.181360-123    0.993637-121
    0.334625E+00    0.155000E+00   -0.181631-123    0.995420-121
    0.334825E+00    0.155000E+00   -0.181902-123    0.997205-121
    0.335025E+00    0.155000E+00   -0.182174-123    0.998991-121
    0.335224E+00    0.155000E+00   -0.182446-123    0.100078-120
    0.335424E+00    0.155000E+00   -0.182718-123    0.100257-120
    0.335624E+00    0.155000E+00   -0.182990-123    0.100436-120
    0.335824E+00    0.155000E+00   -0.183263-123    0.100616-120
    0.336024E+00    0.155000E+00   -0.183535-123    0.100796-120
    0.336223E+00    0.155000E+00   -0.183808-123    0.100976-120
    0.336423E+00    0.155000E+00   -0.184082-123    0.101156-120
    0.336623E+00    0.155000E+00   -0.184355-123    0.101336-120
    0.336823E+00    0.155000E+00   -0.184629-123    0.101517-120
    0.337023E+00    0.155000E+00   -0.184903-123    0.101698-120
    0.337223E+00    0.155000E+00   -0.185177-123    0.101879-120
    0.337422E+00    0.155000E+00   -0.185452-123    0.102060-120
    0.337622E+00    0.155000E+00   -0.185726-123    0.102241-120
    0.337822E+00    0.155000E+00   -0.186001-123    0.102423-120
    0.338022E+00    0.155000E+00   -0.186276-123    0.102605-120
    0.338222E+00    0.155000E+00   -0.186552-123    0.102787-120
    0.338421E+00    0.155000E+00   -0.186828-123    0.102970-120
    0.338621E+00    0.155000E+00   -0.187104-123    0.103152-120
    0.338821E+00    0.155000E+00   -0.187380-123    0.103335-120
    0.339021E+00    0.155000E+00   -0.187656-123    0.103518-120
    0.339221E+00    0.155000E+00   -0.187933-123    0.103701-120
    0.339420E+00    0.155000E+00   -0.188210-123    0.103884-120
    0.339620E+00    0.155000E+00   -0.188487-123    0.104068-120
    0.339820E+00    0.155000E+00   -0.188764-123    0.104252-120
    0.340020E+00    0.155000E+00   -0.189042-123    0.104436-120
    0.340220E+00    0.155000E+00   -0.189320-123    0.104620-120
    0.340420E+00    0.155000E+00   -0.189598-123    0.104805-120
    0.340619E+00    0.155000E+00   -0.189877-123    0.104989-120
    0.340819E+00    0.155000E+00   -0.190155-123    0.105174-120
    0.341019E+00    0.155000E+00   -0.190434-123    0.105359-120
    0.341219E+00    0.155000E+00   -0.190713-123    0.105545-120
    0.341419E+00    0.155000E+00   -0.190993-123    0.105730-120
    0.341618E+00    0.155000E+00   -0.191272-123    0.105916-120
    0.341818E+00    0.155000E+00   -0.191552-123    0.106102-120
    0.342018E+00    0.155000E+00   -0.191832-123    0.106288-120
    0.342218E+00    0.155000E+00   -0.192113-123    0.106475-120
    0.342418E+00    0.155000E+00   -0.192393-123    0.106661-120
    0.342617E+00    0.155000E+00   -0.192674-123    0.106848-120
    0.342817E+00    0.155000E+00   -0.192955-123    0.107035-120
    0.343017E+00    0.155000E+00   -0.193236-123    0.107223-120
    0.343217E+00    0.155000E+00   -0.193518-123    0.107410-120
    0.343417E+00    0.155000E+00   -0.193800-123    0.107598-120
    0.343617E+00    0.155000E+00   -0.194082-123    0.107786-120
    0.343816E+00    0.155000E+00   -0.194364-123    0.107974-120
    0.344016E+00    0.155000E+00   -0.194647-123    0.108163-120
    0.344216E+00    0.155000E+00   -0.194930-123    0.108351-120
    0.344416E+00    0.155000E+00   -0.195213-123    0.108540-120
    0.344616E+00    0.155000E+00   -0.195496-123    0.108729-120
    0.344815E+00    0.155000E+00   -0.195780-123    0.108918-120
    0.345015E+00    0.155000E+00   -0.196063-123    0.109108-120
    0.345215E+00    0.155000E+00   -0.196347-123    0.109298-120
    0.345415E+00    0.155000E+00   -0.196632-123    0.109488-120
    0.345615E+00    0.155000E+00   -0.196916-123    0.109678-120
    0.345814E+00    0.155000E+00   -0.197201-123    0.109868-120
    0.346014E+00    0.155000E+00   -0.197486-123    0.110059-120
    0.346214E+00    0.155000E+00   -0.197771-123    0.110250-120
    0.346414E+00    0.155000E+00   -0.198057-123    0.110441-120
    0.346614E+00    0.155000E+00   -0.198343-123    0.110632-120
    0.346814E+00    0.155000E+00   -0.198629-123    0.110823-120
    0.347013E+00    0.155000E+00   -0.198915-123    0.111015-120
    0.347213E+00    0.155000E+00   -0.199202-123    0.111207-120
    0.347413E+00    0.155000E+00   -0.199488-123    0.111399-120
    0.347613E+00    0.155000E+00   -0.199775-123    0.111592-120
    0.347813E+00    0.155000E+00   -0.200063-123    0.111784-120
    0.348012E+00    0.155000E+00   -0.200350-123    0.111977-120
    0.348212E+00    0.155000E+00   -0.200638-123    0.112170-120
    0.348412E+00    0.155000E+00   -0.200926-123    0.112363-120
    0.348612E+00    0.155000E+00   -0.201214-123    0.112557-120
    0.348812E+00    0.155000E+00   -0.201503-123    0.112750-120
    0.349011E+00    0.155000E+00   -0.201791-123    0.112944-120
    0.349211E+00    0.155000E+00   -0.202080-123    0.113139-120
    0.349411E+00    0.155000E+00   -0.202370-123    0.113333-120
    0.349611E+00    0.155000E+00   -0.202659-123    0.113528-120
    0.349811E+00    0.155000E+00   -0.202949-123    0.113722-120
    0.350011E+00    0.155000E+00   -0.203239-123    0.113917-120
    0.350210E+00    0.155000E+00   -0.203529-123    0.114113-120
    0.350410E+00    0.155000E+00   -0.203820-123    0.114308-120
    0.350610E+00    0.155000E+00   -0.204110-123    0.114504-120
    0.350810E+00    0.155000E+00   -0.204401-123    0.114700-120
    0.351010E+00    0.155000E+00   -0.204693-123    0.114896-120
    0.351209E+00    0.155000E+00   -0.204984-123    0.115092-120
    0.351409E+00    0.155000E+00   -0.205276-123    0.115289-120
    0.351609E+00    0.155000E+00   -0.205568-123    0.115486-120
    0.351809E+00    0.155000E+00   -0.205860-123    0.115683-120
    0.352009E+00    0.155000E+00   -0.206152-123    0.115880-120
    0.352208E+00    0.155000E+00   -0.206445-123    0.116077-120
    0.352408E+00    0.155000E+00   -0.206738-123    0.116275-120
    0.352608E+00    0.155000E+00   -0.207031-123    0.116473-120
    0.352808E+00    0.155000E+00   -0.207325-123    0.116671-120
    0.353008E+00    0.155000E+00   -0.207619-123    0.116870-120
    0.353208E+00    0.155000E+00   -0.207913-123    0.117068-120
    0.353407E+00    0.155000E+00   -0.208207-123    0.117267-120
    0.353607E+00    0.155000E+00   -0.208501-123    0.117466-120
    0.353807E+00    0.155000E+00   -0.208796-123    0.117666-120
    0.354007E+00    0.155000E+00   -0.209091-123    0.117865-120
    0.354207E+00    0.155000E+00   -0.209386-123    0.118065-120
    0.354406E+00    0.155000E+00   -0.209682-123    0.118265-120
    0.354606E+00    0.155000E+00   -0.209977-123    0.118465-120
    0.354806E+00    0.155000E+00   -0.210273-123    0.118665-120
    0.355006E+00    0.155000E+00   -0.210570-123    0.118866-120
    0.355206E+00    0.155000E+00   -0.210866-123    0.119067-120
    0.355405E+00    0.155000E+00   -0.211163-123    0.119268-120
    0.355605E+00    0.155000E+00   -0.211460-123    0.119469-120
    0.355805E+00    0.155000E+00   -0.211757-123    0.119671-120
    0.356005E+00    0.155000E+00   -0.212054-123    0.119873-120
    0.356205E+00    0.155000E+00   -0.212352-123    0.120075-120
    0.356405E+00    0.155000E+00   -0.212650-123    0.120277-120
    0.356604E+00    0.155000E+00   -0.212948-123    0.120479-120
    0.356804E+00    0.155000E+00   -0.213247-123    0.120682-120
    0.357004E+00    0.155000E+00   -0.213546-123    0.120885-120
    0.357204E+00    0.155000E+00   -0.213845-123    0.121088-120
    0.357404E+00    0.155000E+00   -0.214144-123    0.121291-120
    0.357603E+00    0.155000E+00   -0.214443-123    0.121495-120
    0.357803E+00    0.155000E+00   -0.214743-123    0.121699-120
    0.358003E+00    0.155000E+00   -0.215043-123    0.121903-120
    0.358203E+00    0.155000E+00   -0.215343-123    0.122107-120
    0.358403E+00    0.155000E+00   -0.215644-123    0.122312-120
    0.358602E+00    0.155000E+00   -0.215945-123    0.122516-120
    0.358802E+00    0.155000E+00   -0.216246-123    0.122721-120
    0.359002E+00    0.155000E+00   -0.216547-123    0.122927-120
    0.359202E+00    0.155000E+00   -0.216848-123    0.123132-120
    0.359402E+00    0.155000E+00   -0.217150-123    0.123338-120
    0.359602E+00    0.155000E+00   -0.217452-123    0.123544-120
    0.359801E+00    0.155000E+00   -0.217754-123    0.123750-120
    0.360001E+00    0.155000E+00   -0.218057-123    0.123956-120
    0.360201E+00    0.155000E+00   -0.218360-123    0.124163-120
    0.360401E+00    0.155000E+00   -0.218663-123    0.124369-120
    0.360601E+00    0.155000E+00   -0.218966-123    0.124576-120
    0.360800E+00    0.155000E+00   -0.219269-123    0.124784-120
    0.361000E+00    0.155000E+00   -0.219573-123    0.124991-120
    0.361200E+00    0.155000E+00   -0.219877-123    0.125199-120
    0.361400E+00    0.155000E+00   -0.220181-123    0.125407-120
    0.361600E+00    0.155000E+00   -0.220486-123    0.125615-120
    0.361799E+00    0.155000E+00   -0.220791-123    0.125823-120
    0.361999E+00    0.155000E+00   -0.221096-123    0.126032-120
    0.362199E+00    0.155000E+00   -0.221401-123    0.126241-120
    0.362399E+00    0.155000E+00   -0.221706-123    0.126450-120
    0.362599E+00    0.155000E+00   -0.222012-123    0.126659-120
    0.362799E+00    0.155000E+00   -0.222318-123    0.126869-120
    0.362998E+00    0.155000E+00   -0.222625-123    0.127079-120
    0.363198E+00    0.155000E+00   -0.222931-123    0.127289-120
    0.363398E+00    0.155000E+00   -0.223238-123    0.127499-120
    0.363598E+00    0.155000E+00   -0.223545-123    0.127709-120
    0.363798E+00    0.155000E+00   -0.223852-123    0.127920-120
    0.363997E+00    0.155000E+00   -0.224160-123    0.128131-120
    0.364197E+00    0.155000E+00   -0.224468-123    0.128342-120
    0.364397E+00    0.155000E+00   -0.224776-123    0.128554-120
    0.364597E+00    0.155000E+00   -0.225084-123    0.128765-120
    0.364797E+00    0.155000E+00   -0.225393-123    0.128977-120
    0.364996E+00    0.155000E+00   -0.225701-123    0.129189-120
    0.365196E+00    0.155000E+00   -0.226011-123    0.129402-120
    0.365396E+00    0.155000E+00   -0.226320-123    0.129614-120
    0.365596E+00    0.155000E+00   -0.226629-123    0.129827-120
    0.365796E+00    0.155000E+00   -0.226939-123    0.130040-120
    0.365995E+00    0.155000E+00   -0.227249-123    0.130253-120
    0.366195E+00    0.155000E+00   -0.227560-123    0.130467-120
    0.366395E+00    0.155000E+00   -0.227870-123    0.130680-120
    0.366595E+00    0.155000E+00   -0.228181-123    0.130894-120
    0.366795E+00    0.155000E+00   -0.228492-123    0.131109-120
    0.366995E+00    0.155000E+00   -0.228804-123    0.131323-120
    0.367194E+00    0.155000E+00   -0.229115-123    0.131538-120
    0.367394E+00    0.155000E+00   -0.229427-123    0.131753-120
    0.367594E+00    0.155000E+00   -0.229739-123    0.131968-120
    0.367794E+00    0.155000E+00   -0.230052-123    0.132183-120
    0.367994E+00    0.155000E+00   -0.230364-123    0.132399-120
    0.368193E+00    0.155000E+00   -0.230677-123    0.132615-120
    0.368393E+00    0.155000E+00   -0.230990-123    0.132831-120
    0.368593E+00    0.155000E+00   -0.231304-123    0.133047-120
    0.368793E+00    0.155000E+00   -0.231617-123    0.133263-120
    0.368993E+00    0.155000E+00   -0.231931-123    0.133480-120
    0.369192E+00    0.155000E+00   -0.232245-123    0.133697-120
    0.369392E+00    0.155000E+00   -0.232560-123    0.133915-120
    0.369592E+00    0.155000E+00   -0.232875-123    0.134132-120
    0.369792E+00    0.155000E+00   -0.233190-123    0.134350-120
    0.369992E+00    0.155000E+00   -0.233505-123    0.134568-120
    0.370192E+00    0.155000E+00   -0.233820-123    0.134786-120
    0.370391E+00    0.155000E+00   -0.234136-123    0.135004-120
    0.370591E+00    0.155000E+00   -0.234452-123    0.135223-120
    0.370791E+00    0.155000E+00   -0.234768-123    0.135442-120
    0.370991E+00    0.155000E+00   -0.235084-123    0.135661-120
    0.371191E+00    0.155000E+00   -0.235401-123    0.135880-120
    0.371390E+00    0.155000E+00   -0.235718-123    0.136100-120
    0.371590E+00    0.155000E+00   -0.236035-123    0.136320-120
    0.371790E+00    0.155000E+00   -0.236353-123    0.136540-120
    0.371990E+00    0.155000E+00   -0.236671-123    0.136760-120
    0.372190E+00    0.155000E+00   -0.236989-123    0.136981-120
    0.372389E+00    0.155000E+00   -0.237307-123    0.137202-120
    0.372589E+00    0.155000E+00   -0.237625-123    0.137423-120
    0.372789E+00    0.155000E+00   -0.237944-123    0.137644-120
    0.372989E+00    0.155000E+00   -0.238263-123    0.137865-120
    0.373189E+00    0.155000E+00   -0.238583-123    0.138087-120
    0.373389E+00    0.155000E+00   -0.238902-123    0.138309-120
    0.373588E+00    0.155000E+00   -0.239222-123    0.138531-120
    0.373788E+00    0.155000E+00   -0.239542-123    0.138754-120
    0.373988E+00    0.155000E+00   -0.239862-123    0.138976-120
    0.374188E+00    0.155000E+00   -0.240183-123    0.139199-120
    0.374388E+00    0.155000E+00   -0.240504-123    0.139422-120
    0.374587E+00    0.155000E+00   -0.240825-123    0.139646-120
    0.374787E+00    0.155000E+00   -0.241146-123    0.139870-120
    0.374987E+00    0.155000E+00   -0.241468-123    0.140093-120
    0.375187E+00    0.155000E+00   -0.241789-123    0.140318-120
    0.375387E+00    0.155000E+00   -0.242112-123    0.140542-120
    0.375586E+00    0.155000E+00   -0.242434-123    0.140766-120
    0.375786E+00    0.155000E+00   -0.242757-123    0.140991-120
    0.375986E+00    0.155000E+00   -0.243079-123    0.141216-120
    0.376186E+00    0.155000E+00   -0.243403-123    0.141442-120
    0.376386E+00    0.155000E+00   -0.243726-123    0.141667-120
    0.376586E+00    0.155000E+00   -0.244050-123    0.141893-120
    0.376785E+00    0.155000E+00   -0.244374-123    0.142119-120
    0.376985E+00    0.155000E+00   -0.244698-123    0.142345-120
    0.377185E+00    0.155000E+00   -0.245022-123    0.142572-120
    0.377385E+00    0.155000E+00   -0.245347-123    0.142799-120
    0.377585E+00    0.155000E+00   -0.245672-123    0.143026-120
    0.377784E+00    0.155000E+00   -0.245997-123    0.143253-120
    0.377984E+00    0.155000E+00   -0.246322-123    0.143480-120
    0.378184E+00    0.155000E+00   -0.246648-123    0.143708-120
    0.378384E+00    0.155000E+00   -0.246974-123    0.143936-120
    0.378584E+00    0.155000E+00   -0.247300-123    0.144164-120
    0.378783E+00    0.155000E+00   -0.247627-123    0.144393-120
    0.378983E+00    0.155000E+00   -0.247954-123    0.144621-120
    0.379183E+00    0.155000E+00   -0.248281-123    0.144850-120
    0.379383E+00    0.155000E+00   -0.248608-123    0.145079-120
    0.379583E+00    0.155000E+00   -0.248935-123    0.145309-120
    0.379783E+00    0.155000E+00   -0.249263-123    0.145538-120
    0.379982E+00    0.155000E+00   -0.249591-123    0.145768-120
    0.380182E+00    0.155000E+00   -0.249920-123    0.145998-120
    0.380382E+00    0.155000E+00   -0.250248-123    0.146229-120
    0.380582E+00    0.155000E+00   -0.250577-123    0.146459-120
    0.380782E+00    0.155000E+00   -0.250906-123    0.146690-120
    0.380981E+00    0.155000E+00   -0.251235-123    0.146921-120
    0.381181E+00    0.155000E+00   -0.251565-123    0.147153-120
    0.381381E+00    0.155000E+00   -0.251895-123    0.147384-120
    0.381581E+00    0.155000E+00   -0.252225-123    0.147616-120
    0.381781E+00    0.155000E+00   -0.252555-123    0.147848-120
    0.381980E+00    0.155000E+00   -0.252886-123    0.148081-120
    0.382180E+00    0.155000E+00   -0.253217-123    0.148313-120
    0.382380E+00    0.155000E+00   -0.253548-123    0.148546-120
    0.382580E+00    0.155000E+00   -0.253880-123    0.148779-120
    0.382780E+00    0.155000E+00   -0.254211-123    0.149012-120
    0.382980E+00    0.155000E+00   -0.254543-123    0.149246-120
    0.383179E+00    0.155000E+00   -0.254875-123    0.149480-120
    0.383379E+00    0.155000E+00   -0.255208-123    0.149714-120
    0.383579E+00    0.155000E+00   -0.255540-123    0.149948-120
    0.383779E+00    0.155000E+00   -0.255873-123    0.150182-120
    0.383979E+00    0.155000E+00   -0.256207-123    0.150417-120
    0.384178E+00    0.155000E+00   -0.256540-123    0.150652-120
    0.384378E+00    0.155000E+00   -0.256874-123    0.150887-120
    0.384578E+00    0.155000E+00   -0.257208-123    0.151123-120
    0.384778E+00    0.155000E+00   -0.257542-123    0.151359-120
    0.384978E+00    0.155000E+00   -0.257877-123    0.151595-120
    0.385177E+00    0.155000E+00   -0.258212-123    0.151831-120
    0.385377E+00    0.155000E+00   -0.258547-123    0.152067-120
    0.385577E+00    0.155000E+00   -0.258882-123    0.152304-120
    0.385777E+00    0.155000E+00   -0.259218-123    0.152541-120
    0.385977E+00    0.155000E+00   -0.259553-123    0.152778-120
    0.386177E+00    0.155000E+00   -0.259890-123    0.153016-120
    0.386376E+00    0.155000E+00   -0.260226-123    0.153253-120
    0.386576E+00    0.155000E+00   -0.260563-123    0.153491-120
