#           k/h    P           
   0.350724E-01   0.162809E+05
   0.357809E-01   0.159727E+05
   0.365038E-01   0.156664E+05
   0.372412E-01   0.153628E+05
   0.379935E-01   0.150630E+05
   0.387610E-01   0.147677E+05
   0.395440E-01   0.144777E+05
   0.403429E-01   0.141936E+05
   0.411579E-01   0.139160E+05
   0.419893E-01   0.136452E+05
   0.428375E-01   0.133815E+05
   0.437029E-01   0.131253E+05
   0.445858E-01   0.128771E+05
   0.454865E-01   0.126379E+05
   0.464053E-01   0.124083E+05
   0.473428E-01   0.121892E+05
   0.482992E-01   0.119812E+05
   0.492749E-01   0.117839E+05
   0.502703E-01   0.115963E+05
   0.512858E-01   0.114177E+05
   0.523219E-01   0.112470E+05
   0.533789E-01   0.110837E+05
   0.544572E-01   0.109267E+05
   0.555573E-01   0.107756E+05
   0.566796E-01   0.106294E+05
   0.578246E-01   0.104875E+05
   0.589927E-01   0.103489E+05
   0.601845E-01   0.102126E+05
   0.614003E-01   0.100778E+05
   0.626407E-01   0.994313E+04
   0.639061E-01   0.980734E+04
   0.651971E-01   0.966909E+04
   0.665142E-01   0.952701E+04
   0.678578E-01   0.937937E+04
   0.692287E-01   0.922453E+04
   0.706272E-01   0.906104E+04
   0.720539E-01   0.888802E+04
   0.735095E-01   0.870485E+04
   0.749945E-01   0.851115E+04
   0.765095E-01   0.830731E+04
   0.780551E-01   0.809404E+04
   0.796319E-01   0.787227E+04
   0.812406E-01   0.764376E+04
   0.828817E-01   0.741033E+04
   0.845561E-01   0.717399E+04
   0.862642E-01   0.693694E+04
   0.880068E-01   0.670129E+04
   0.897847E-01   0.646920E+04
   0.915985E-01   0.624275E+04
   0.934489E-01   0.602396E+04
   0.953367E-01   0.581494E+04
   0.972626E-01   0.561753E+04
   0.992274E-01   0.543334E+04
   0.101232E+00   0.526383E+04
   0.103277E+00   0.511017E+04
   0.105363E+00   0.497262E+04
   0.107492E+00   0.485100E+04
   0.109663E+00   0.474465E+04
   0.111879E+00   0.465168E+04
   0.114139E+00   0.457007E+04
   0.116445E+00   0.449709E+04
   0.118797E+00   0.442965E+04
   0.121197E+00   0.436465E+04
   0.123645E+00   0.429888E+04
   0.126143E+00   0.422940E+04
   0.128691E+00   0.415373E+04
   0.131291E+00   0.406983E+04
   0.133943E+00   0.397667E+04
   0.136649E+00   0.387380E+04
   0.139409E+00   0.376193E+04
   0.142226E+00   0.364229E+04
   0.145099E+00   0.351702E+04
   0.148030E+00   0.338863E+04
   0.151020E+00   0.326028E+04
   0.154071E+00   0.313529E+04
   0.157184E+00   0.301721E+04
   0.160359E+00   0.290907E+04
   0.163598E+00   0.281319E+04
   0.166903E+00   0.273041E+04
   0.170275E+00   0.266038E+04
   0.173715E+00   0.260138E+04
   0.177224E+00   0.255105E+04
   0.180804E+00   0.250666E+04
   0.184457E+00   0.246525E+04
   0.188183E+00   0.242373E+04
   0.191985E+00   0.237901E+04
   0.195863E+00   0.232851E+04
   0.199820E+00   0.227091E+04
   0.203856E+00   0.220650E+04
   0.207974E+00   0.213705E+04
   0.212176E+00   0.206525E+04
   0.216462E+00   0.199406E+04
   0.220835E+00   0.192633E+04
   0.225296E+00   0.186445E+04
   0.229847E+00   0.180998E+04
   0.234490E+00   0.176328E+04
   0.239227E+00   0.172354E+04
   0.244060E+00   0.168899E+04
   0.248990E+00   0.165724E+04
   0.254020E+00   0.162561E+04
   0.259152E+00   0.159175E+04
   0.264387E+00   0.155439E+04
   0.269728E+00   0.151375E+04
   0.275177E+00   0.147111E+04
   0.280736E+00   0.142820E+04
   0.286407E+00   0.138687E+04
   0.292193E+00   0.134880E+04
   0.298096E+00   0.131498E+04
   0.304118E+00   0.128523E+04
   0.310261E+00   0.125834E+04
   0.316529E+00   0.123279E+04
   0.322923E+00   0.120719E+04
   0.329447E+00   0.118054E+04
   0.336102E+00   0.115259E+04
   0.342892E+00   0.112395E+04
   0.349819E+00   0.109581E+04
   0.356885E+00   0.106920E+04
   0.364095E+00   0.104460E+04
   0.371450E+00   0.102197E+04
   0.378954E+00   0.100081E+04
   0.386609E+00   0.980279E+03
   0.394419E+00   0.959666E+03
   0.402387E+00   0.938797E+03
   0.410516E+00   0.917957E+03
   0.418809E+00   0.897608E+03
   0.427269E+00   0.878187E+03
   0.435901E+00   0.859870E+03
   0.444706E+00   0.842426E+03
   0.453690E+00   0.825496E+03
   0.462855E+00   0.808814E+03
   0.472206E+00   0.792250E+03
   0.481745E+00   0.775973E+03
   0.491477E+00   0.760203E+03
   0.501405E+00   0.745016E+03
   0.511534E+00   0.730386E+03
   0.521868E+00   0.716153E+03
   0.532411E+00   0.702181E+03
   0.543166E+00   0.688468E+03
   0.554139E+00   0.675055E+03
   0.565333E+00   0.662022E+03
   0.576753E+00   0.649349E+03
   0.588404E+00   0.637068E+03
   0.600291E+00   0.624933E+03
   0.612418E+00   0.613053E+03
   0.624789E+00   0.601473E+03
   0.637411E+00   0.590162E+03
   0.650288E+00   0.579098E+03
   0.663424E+00   0.568266E+03
   0.676826E+00   0.557655E+03
   0.690499E+00   0.547256E+03
   0.704448E+00   0.537062E+03
   0.718679E+00   0.527063E+03
