#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    41   0.125110E+04   0.167236E+01   0.992513E-03   0.167236E+01   0.630166E-01  -0.830343E-07   0.992513E-03  -0.830343E-07   0.135428E-06
    42   0.126982E+04   0.159011E+01   0.971049E-03   0.159011E+01   0.682469E-01  -0.130185E-06   0.971049E-03  -0.130185E-06   0.135126E-06
    43   0.128866E+04   0.149749E+01   0.950164E-03   0.149749E+01   0.737472E-01  -0.221302E-06   0.950164E-03  -0.221302E-06   0.134793E-06
    44   0.130766E+04   0.139398E+01   0.929881E-03   0.139398E+01   0.795316E-01  -0.321113E-06   0.929881E-03  -0.321113E-06   0.134430E-06
    45   0.132691E+04   0.127875E+01   0.910225E-03   0.127875E+01   0.856119E-01  -0.394343E-06   0.910225E-03  -0.394343E-06   0.134041E-06
    46   0.134636E+04   0.115142E+01   0.891209E-03   0.115142E+01   0.919947E-01  -0.416061E-06   0.891209E-03  -0.416061E-06   0.133628E-06
    47   0.136599E+04   0.101146E+01   0.872809E-03   0.101146E+01   0.986804E-01  -0.402700E-06   0.872809E-03  -0.402700E-06   0.133192E-06
    48   0.138579E+04   0.858333E+00   0.854987E-03   0.858333E+00   0.105661E+00  -0.381037E-06   0.854987E-03  -0.381037E-06   0.132735E-06
    49   0.140573E+04   0.691538E+00   0.837708E-03   0.691538E+00   0.112927E+00  -0.377846E-06   0.837708E-03  -0.377846E-06   0.132258E-06
    50   0.142587E+04   0.510731E+00   0.820936E-03   0.510731E+00   0.120480E+00  -0.419905E-06   0.820936E-03  -0.419905E-06   0.131763E-06
    51   0.144627E+04   0.315863E+00   0.804645E-03   0.315863E+00   0.128325E+00  -0.523792E-06   0.804645E-03  -0.523792E-06   0.131253E-06
    52   0.146688E+04   0.107873E+00   0.788850E-03   0.107873E+00   0.136466E+00  -0.665300E-06   0.788850E-03  -0.665300E-06   0.130726E-06
    53   0.148762E+04  -0.112263E+00   0.773575E-03  -0.112263E+00   0.144904E+00  -0.810022E-06   0.773575E-03  -0.810022E-06   0.130186E-06
    54   0.150848E+04  -0.344428E+00   0.758845E-03  -0.344428E+00   0.153641E+00  -0.923556E-06   0.758845E-03  -0.923556E-06   0.129632E-06
