#    L    TT             EE             BB             TE          
   248   0.546892E+04   0.233617E+01   0.213273E-01   0.623070E+02
   249   0.545129E+04   0.241736E+01   0.214951E-01   0.639417E+02
   250   0.543312E+04   0.250083E+01   0.216627E-01   0.655661E+02
   251   0.541442E+04   0.258655E+01   0.218302E-01   0.671792E+02
   252   0.539520E+04   0.267455E+01   0.219976E-01   0.687805E+02
   253   0.537544E+04   0.276482E+01   0.221648E-01   0.703691E+02
   254   0.535517E+04   0.285738E+01   0.223317E-01   0.719442E+02
   255   0.533437E+04   0.295221E+01   0.224985E-01   0.735050E+02
   256   0.531307E+04   0.304933E+01   0.226650E-01   0.750508E+02
   257   0.529126E+04   0.314873E+01   0.228313E-01   0.765810E+02
   258   0.526896E+04   0.325041E+01   0.229973E-01   0.780946E+02
   259   0.524617E+04   0.335437E+01   0.231631E-01   0.795921E+02
   260   0.522294E+04   0.346060E+01   0.233285E-01   0.810711E+02
   261   0.519924E+04   0.356911E+01   0.234936E-01   0.825325E+02
   262   0.517511E+04   0.367988E+01   0.236583E-01   0.839749E+02
   263   0.515055E+04   0.379292E+01   0.238227E-01   0.853981E+02
   264   0.512557E+04   0.390821E+01   0.239867E-01   0.868009E+02
   265   0.510017E+04   0.402574E+01   0.241503E-01   0.881838E+02
   266   0.507437E+04   0.414550E+01   0.243135E-01   0.895447E+02
   267   0.504816E+04   0.426746E+01   0.244763E-01   0.908829E+02
   268   0.502156E+04   0.439162E+01   0.246386E-01   0.921992E+02
   269   0.499457E+04   0.451797E+01   0.248005E-01   0.934912E+02
   270   0.496718E+04   0.464647E+01   0.249619E-01   0.947599E+02
   271   0.493943E+04   0.477713E+01   0.251228E-01   0.960028E+02
   272   0.491132E+04   0.490993E+01   0.252833E-01   0.972210E+02
   273   0.488285E+04   0.504481E+01   0.254432E-01   0.984127E+02
   274   0.485404E+04   0.518179E+01   0.256026E-01   0.995789E+02
   275   0.482490E+04   0.532082E+01   0.257615E-01   0.100717E+03
   276   0.479544E+04   0.546189E+01   0.259198E-01   0.101829E+03
   277   0.476568E+04   0.560498E+01   0.260776E-01   0.102911E+03
   278   0.473561E+04   0.575005E+01   0.262348E-01   0.103965E+03
   279   0.470525E+04   0.589708E+01   0.263914E-01   0.104990E+03
   280   0.467462E+04   0.604602E+01   0.265475E-01   0.105985E+03
   281   0.464372E+04   0.619686E+01   0.267029E-01   0.106951E+03
   282   0.461256E+04   0.634955E+01   0.268578E-01   0.107885E+03
   283   0.458115E+04   0.650406E+01   0.270120E-01   0.108788E+03
   284   0.454951E+04   0.666037E+01   0.271657E-01   0.109660E+03
   285   0.451764E+04   0.681844E+01   0.273187E-01   0.110499E+03
   286   0.448555E+04   0.697822E+01   0.274710E-01   0.111306E+03
   287   0.445326E+04   0.713967E+01   0.276228E-01   0.112080E+03
   288   0.442078E+04   0.730276E+01   0.277739E-01   0.112820E+03
   289   0.438811E+04   0.746744E+01   0.279243E-01   0.113527E+03
   290   0.435528E+04   0.763368E+01   0.280741E-01   0.114199E+03
   291   0.432228E+04   0.780144E+01   0.282232E-01   0.114837E+03
   292   0.428913E+04   0.797060E+01   0.283717E-01   0.115440E+03
   293   0.425583E+04   0.814122E+01   0.285195E-01   0.116008E+03
   294   0.422241E+04   0.831323E+01   0.286666E-01   0.116540E+03
   295   0.418886E+04   0.848647E+01   0.288130E-01   0.117036E+03
   296   0.415520E+04   0.866103E+01   0.289588E-01   0.117496E+03
   297   0.412143E+04   0.883673E+01   0.291039E-01   0.117918E+03
   298   0.408757E+04   0.901359E+01   0.292482E-01   0.118303E+03
   299   0.405362E+04   0.919153E+01   0.293919E-01   0.118650E+03
   300   0.401961E+04   0.937047E+01   0.295349E-01   0.118960E+03
   301   0.398553E+04   0.955048E+01   0.296772E-01   0.119233E+03
   302   0.395141E+04   0.973133E+01   0.298189E-01   0.119467E+03
   303   0.391725E+04   0.991311E+01   0.299598E-01   0.119664E+03
   304   0.388308E+04   0.100957E+02   0.301000E-01   0.119824E+03
   305   0.384889E+04   0.102791E+02   0.302395E-01   0.119945E+03
   306   0.381470E+04   0.104633E+02   0.303783E-01   0.120028E+03
   307   0.378052E+04   0.106480E+02   0.305164E-01   0.120072E+03
   308   0.374636E+04   0.108334E+02   0.306539E-01   0.120078E+03
   309   0.371224E+04   0.110193E+02   0.307906E-01   0.120047E+03
   310   0.367814E+04   0.112057E+02   0.309266E-01   0.119977E+03
   311   0.364410E+04   0.113924E+02   0.310620E-01   0.119867E+03
   312   0.361011E+04   0.115795E+02   0.311966E-01   0.119720E+03
   313   0.357620E+04   0.117669E+02   0.313306E-01   0.119534E+03
   314   0.354237E+04   0.119545E+02   0.314639E-01   0.119309E+03
   315   0.350862E+04   0.121421E+02   0.315965E-01   0.119046E+03
   316   0.347496E+04   0.123299E+02   0.317284E-01   0.118744E+03
   317   0.344142E+04   0.125176E+02   0.318596E-01   0.118404E+03
   318   0.340801E+04   0.127053E+02   0.319902E-01   0.118025E+03
   319   0.337472E+04   0.128928E+02   0.321201E-01   0.117609E+03
   320   0.334156E+04   0.130802E+02   0.322494E-01   0.117154E+03
   321   0.330856E+04   0.132673E+02   0.323780E-01   0.116662E+03
   322   0.327571E+04   0.134540E+02   0.325060E-01   0.116132E+03
   323   0.324303E+04   0.136402E+02   0.326333E-01   0.115564E+03
   324   0.321052E+04   0.138260E+02   0.327600E-01   0.114959E+03
   325   0.317820E+04   0.140112E+02   0.328861E-01   0.114317E+03
   326   0.314608E+04   0.141958E+02   0.330116E-01   0.113638E+03
   327   0.311415E+04   0.143797E+02   0.331365E-01   0.112922E+03
   328   0.308244E+04   0.145627E+02   0.332608E-01   0.112169E+03
   329   0.305095E+04   0.147450E+02   0.333846E-01   0.111381E+03
   330   0.301969E+04   0.149262E+02   0.335078E-01   0.110557E+03
   331   0.298866E+04   0.151065E+02   0.336304E-01   0.109697E+03
   332   0.295789E+04   0.152857E+02   0.337525E-01   0.108801E+03
   333   0.292736E+04   0.154638E+02   0.338741E-01   0.107871E+03
   334   0.289709E+04   0.156406E+02   0.339952E-01   0.106906E+03
   335   0.286711E+04   0.158161E+02   0.341157E-01   0.105907E+03
   336   0.283739E+04   0.159902E+02   0.342358E-01   0.104874E+03
   337   0.280797E+04   0.161629E+02   0.343555E-01   0.103808E+03
   338   0.277883E+04   0.163342E+02   0.344747E-01   0.102709E+03
   339   0.275000E+04   0.165038E+02   0.345935E-01   0.101579E+03
   340   0.272149E+04   0.166719E+02   0.347118E-01   0.100417E+03
   341   0.269329E+04   0.168381E+02   0.348298E-01   0.992228E+02
   342   0.266540E+04   0.170026E+02   0.349474E-01   0.979973E+02
   343   0.263785E+04   0.171652E+02   0.350647E-01   0.967418E+02
   344   0.261062E+04   0.173258E+02   0.351816E-01   0.954555E+02
   345   0.258373E+04   0.174843E+02   0.352982E-01   0.941392E+02
   346   0.255718E+04   0.176407E+02   0.354145E-01   0.927929E+02
