#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.177754E-01   0.122078E+08   0.121821E+08  -0.275624E+03  -0.964293E+03   0.599142E+07   0.121758E+08   0.122038E+08   0.121742E+08  -0.290866E+00   0.645197E+07   0.645144E+07   0.993232E+01
   0.196262E-01   0.115635E+08   0.115342E+08  -0.325844E+03  -0.749464E+03   0.531952E+07   0.115308E+08   0.115589E+08   0.115296E+08  -0.275459E+00   0.611052E+07   0.610998E+07   0.919171E+01
   0.216698E-01   0.108876E+08   0.108545E+08  -0.197860E+03  -0.579007E+03   0.467487E+07   0.108544E+08   0.108824E+08   0.108535E+08  -0.259301E+00   0.575240E+07   0.575184E+07   0.850093E+01
   0.239262E-01   0.101845E+08   0.101477E+08  -0.121262E+03  -0.444409E+03   0.406408E+07   0.101511E+08   0.101787E+08   0.101504E+08  -0.242500E+00   0.537998E+07   0.537942E+07   0.783561E+01
   0.264175E-01   0.946129E+07   0.942095E+07  -0.134874E+03  -0.338754E+03   0.349388E+07   0.942808E+07   0.945495E+07   0.942753E+07  -0.225227E+00   0.499705E+07   0.499648E+07   0.717698E+01
   0.291682E-01   0.872836E+07   0.868506E+07  -0.652592E+02  -0.256422E+03   0.296980E+07   0.869563E+07   0.872155E+07   0.869521E+07  -0.207729E+00   0.460909E+07   0.460852E+07   0.650415E+01
   0.322054E-01   0.799961E+07   0.795429E+07  -0.941940E+02  -0.192831E+03   0.249695E+07   0.796772E+07   0.799249E+07   0.796740E+07  -0.190340E+00   0.422350E+07   0.422294E+07   0.580149E+01
   0.355588E-01   0.729226E+07   0.724630E+07  -0.434810E+02  -0.144231E+03   0.207904E+07   0.726158E+07   0.728504E+07   0.726134E+07  -0.173471E+00   0.384940E+07   0.384886E+07   0.506054E+01
   0.392614E-01   0.662556E+07   0.658075E+07  -0.363248E+02  -0.107526E+03   0.171792E+07   0.659643E+07   0.661852E+07   0.659626E+07  -0.157582E+00   0.349699E+07   0.349648E+07   0.428386E+01
   0.433495E-01   0.601800E+07   0.597637E+07  -0.268386E+02  -0.801404E+02   0.141304E+07   0.599073E+07   0.601146E+07   0.599060E+07  -0.143112E+00   0.317604E+07   0.317559E+07   0.348878E+01
   0.476844E-01   0.550021E+07   0.546355E+07  -0.594092E+02  -0.605550E+02   0.116925E+07   0.547495E+07   0.549445E+07   0.547485E+07  -0.130791E+00   0.290273E+07   0.290234E+07   0.273830E+01
   0.520194E-01   0.509232E+07   0.506144E+07  -0.462355E+02  -0.471269E+02   0.985327E+06   0.506898E+07   0.508747E+07   0.506890E+07  -0.121093E+00   0.268759E+07   0.268726E+07   0.210387E+01
   0.563543E-01   0.476062E+07   0.473550E+07  -0.368431E+02  -0.375533E+02   0.842415E+06   0.473903E+07   0.475667E+07   0.473897E+07  -0.113210E+00   0.251273E+07   0.251246E+07   0.159691E+01
   0.606893E-01   0.447934E+07   0.445927E+07  -0.299009E+02  -0.304771E+02   0.728002E+06   0.445930E+07   0.447619E+07   0.445925E+07  -0.106528E+00   0.236448E+07   0.236426E+07   0.121846E+01
   0.650242E-01   0.422921E+07   0.421297E+07  -0.245997E+02  -0.250736E+02   0.633727E+06   0.421047E+07   0.422666E+07   0.421043E+07  -0.100584E+00   0.223260E+07   0.223241E+07   0.958794E+00
   0.693592E-01   0.399421E+07   0.398038E+07  -0.204242E+02  -0.208177E+02   0.553751E+06   0.397654E+07   0.399204E+07   0.397650E+07  -0.949953E-01   0.210861E+07   0.210844E+07   0.799235E+00
   0.736941E-01   0.376253E+07   0.374973E+07  -0.170457E+02  -0.173739E+02   0.484158E+06   0.374575E+07   0.376052E+07   0.374573E+07  -0.894821E-01   0.198628E+07   0.198612E+07   0.715596E+00
   0.780290E-01   0.353059E+07   0.351769E+07  -0.142688E+02  -0.145435E+02   0.422911E+06   0.351457E+07   0.352857E+07   0.351455E+07  -0.839594E-01   0.186373E+07   0.186357E+07   0.682253E+00
   0.823640E-01   0.330143E+07   0.328768E+07  -0.119759E+02  -0.122065E+02   0.369120E+06   0.328606E+07   0.329927E+07   0.328604E+07  -0.785006E-01   0.174259E+07   0.174242E+07   0.675325E+00
   0.866989E-01   0.308135E+07   0.306644E+07  -0.100881E+02  -0.102823E+02   0.322375E+06   0.306658E+07   0.307901E+07   0.306656E+07  -0.732574E-01   0.162622E+07   0.162605E+07   0.675075E+00
   0.910339E-01   0.287646E+07   0.286051E+07  -0.854195E+01  -0.870634E+01   0.282262E+06   0.286228E+07   0.287396E+07   0.286226E+07  -0.683768E-01   0.151791E+07   0.151772E+07   0.667377E+00
   0.964126E-01   0.265044E+07   0.263382E+07  -0.701725E+01  -0.715228E+01   0.240935E+06   0.263698E+07   0.264783E+07   0.263697E+07  -0.629948E-01   0.139846E+07   0.139827E+07   0.636047E+00
   0.101791E+00   0.246129E+07   0.244497E+07  -0.584634E+01  -0.595882E+01   0.207921E+06   0.244858E+07   0.245873E+07   0.244857E+07  -0.584941E-01   0.129856E+07   0.129839E+07   0.578303E+00
   0.107170E+00   0.231044E+07   0.229537E+07  -0.495153E+01  -0.504679E+01   0.181906E+06   0.229849E+07   0.230808E+07   0.229848E+07  -0.549086E-01   0.121898E+07   0.121882E+07   0.501108E+00
   0.112549E+00   0.219265E+07   0.217949E+07  -0.426135E+01  -0.434332E+01   0.161324E+06   0.218144E+07   0.219058E+07   0.218143E+07  -0.521122E-01   0.115691E+07   0.115677E+07   0.416606E+00
   0.117928E+00   0.209742E+07   0.208639E+07  -0.371357E+01  -0.378500E+01   0.144564E+06   0.208689E+07   0.209568E+07   0.208688E+07  -0.498536E-01   0.110678E+07   0.110666E+07   0.337439E+00
   0.123306E+00   0.201313E+07   0.200403E+07  -0.326071E+01  -0.332343E+01   0.130276E+06   0.200322E+07   0.201170E+07   0.200321E+07  -0.478548E-01   0.106241E+07   0.106231E+07   0.273278E+00
   0.128685E+00   0.193052E+07   0.192282E+07  -0.287137E+01  -0.292660E+01   0.117539E+06   0.192114E+07   0.192931E+07   0.192114E+07  -0.458940E-01   0.101889E+07   0.101880E+07   0.228967E+00
   0.134064E+00   0.184427E+07   0.183730E+07  -0.252763E+01  -0.257624E+01   0.105846E+06   0.183535E+07   0.184318E+07   0.183534E+07  -0.438445E-01   0.973396E+06   0.973314E+06   0.204287E+00
   0.139443E+00   0.175320E+07   0.174632E+07  -0.222112E+01  -0.226383E+01   0.950141E+05   0.174465E+07   0.175212E+07   0.174465E+07  -0.416780E-01   0.925305E+06   0.925224E+06   0.195025E+00
   0.144821E+00   0.165927E+07   0.165204E+07  -0.194886E+01  -0.198634E+01   0.850559E+05   0.165104E+07   0.165813E+07   0.165104E+07  -0.394417E-01   0.875664E+06   0.875579E+06   0.194785E+00
   0.150200E+00   0.156618E+07   0.155843E+07  -0.171009E+01  -0.174297E+01   0.760582E+05   0.155825E+07   0.156496E+07   0.155825E+07  -0.372250E-01   0.826458E+06   0.826369E+06   0.196955E+00
