#    L    TT             EE             TE             PP             TP          
   226   0.572051E+04   0.105725E+01   0.251934E+02   0.230015E+07   0.204951E+04
   227   0.571598E+04   0.109264E+01   0.268745E+02   0.228961E+07   0.203281E+04
   228   0.571081E+04   0.112985E+01   0.285618E+02   0.227914E+07   0.201625E+04
   229   0.570503E+04   0.116890E+01   0.302546E+02   0.226875E+07   0.199980E+04
   230   0.569862E+04   0.120984E+01   0.319523E+02   0.225844E+07   0.198348E+04
   231   0.569160E+04   0.125266E+01   0.336539E+02   0.224820E+07   0.196729E+04
   232   0.568396E+04   0.129742E+01   0.353590E+02   0.223804E+07   0.195121E+04
   233   0.567570E+04   0.134413E+01   0.370666E+02   0.222796E+07   0.193526E+04
   234   0.566682E+04   0.139283E+01   0.387761E+02   0.221795E+07   0.191942E+04
   235   0.565734E+04   0.144353E+01   0.404868E+02   0.220801E+07   0.190371E+04
   236   0.564725E+04   0.149628E+01   0.421978E+02   0.219814E+07   0.188811E+04
   237   0.563655E+04   0.155108E+01   0.439085E+02   0.218835E+07   0.187263E+04
   238   0.562526E+04   0.160795E+01   0.456182E+02   0.217862E+07   0.185727E+04
   239   0.561337E+04   0.166691E+01   0.473260E+02   0.216897E+07   0.184202E+04
   240   0.560088E+04   0.172800E+01   0.490310E+02   0.215938E+07   0.182688E+04
   241   0.558780E+04   0.179124E+01   0.507328E+02   0.214986E+07   0.181186E+04
   242   0.557414E+04   0.185663E+01   0.524304E+02   0.214041E+07   0.179696E+04
   243   0.555990E+04   0.192420E+01   0.541230E+02   0.213103E+07   0.178216E+04
   244   0.554508E+04   0.199397E+01   0.558100E+02   0.212171E+07   0.176748E+04
   245   0.552970E+04   0.206596E+01   0.574907E+02   0.211246E+07   0.175290E+04
   246   0.551376E+04   0.214016E+01   0.591642E+02   0.210327E+07   0.173844E+04
   247   0.549726E+04   0.221661E+01   0.608299E+02   0.209414E+07   0.172408E+04
   248   0.548021E+04   0.229531E+01   0.624869E+02   0.208508E+07   0.170983E+04
   249   0.546262E+04   0.237628E+01   0.641346E+02   0.207608E+07   0.169569E+04
   250   0.544450E+04   0.245954E+01   0.657721E+02   0.206714E+07   0.168165E+04
   251   0.542583E+04   0.254508E+01   0.673986E+02   0.205825E+07   0.166772E+04
   252   0.540663E+04   0.263290E+01   0.690134E+02   0.204943E+07   0.165389E+04
