#    L    TT             EE             BB             TE             PP             TP             EP          
   148   0.434178E+04   0.109851E+01   0.000000E+00  -0.461251E+02   0.746861E-07   0.231165E-03  -0.115271E-05
   149   0.437505E+04   0.109398E+01   0.000000E+00  -0.461889E+02   0.742543E-07   0.229097E-03  -0.114061E-05
   150   0.440813E+04   0.108899E+01   0.000000E+00  -0.462285E+02   0.738260E-07   0.227053E-03  -0.112801E-05
   151   0.444098E+04   0.108357E+01   0.000000E+00  -0.462437E+02   0.734012E-07   0.225030E-03  -0.111501E-05
   152   0.447361E+04   0.107771E+01   0.000000E+00  -0.462341E+02   0.729798E-07   0.223029E-03  -0.110164E-05
   153   0.450602E+04   0.107143E+01   0.000000E+00  -0.461995E+02   0.725619E-07   0.221050E-03  -0.108792E-05
   154   0.453820E+04   0.106475E+01   0.000000E+00  -0.461397E+02   0.721474E-07   0.219092E-03  -0.107386E-05
   155   0.457014E+04   0.105766E+01   0.000000E+00  -0.460543E+02   0.717363E-07   0.217155E-03  -0.105950E-05
   156   0.460186E+04   0.105020E+01   0.000000E+00  -0.459432E+02   0.713285E-07   0.215240E-03  -0.104486E-05
   157   0.463332E+04   0.104236E+01   0.000000E+00  -0.458062E+02   0.709241E-07   0.213345E-03  -0.102995E-05
   158   0.466453E+04   0.103418E+01   0.000000E+00  -0.456430E+02   0.705230E-07   0.211471E-03  -0.101481E-05
   159   0.469548E+04   0.102565E+01   0.000000E+00  -0.454533E+02   0.701252E-07   0.209618E-03  -0.999442E-06
   160   0.472616E+04   0.101679E+01   0.000000E+00  -0.452371E+02   0.697306E-07   0.207785E-03  -0.983880E-06
   161   0.475655E+04   0.100763E+01   0.000000E+00  -0.449940E+02   0.693393E-07   0.205973E-03  -0.968143E-06
   162   0.478665E+04   0.998173E+00   0.000000E+00  -0.447240E+02   0.689513E-07   0.204181E-03  -0.952253E-06
   163   0.481643E+04   0.988457E+00   0.000000E+00  -0.444267E+02   0.685664E-07   0.202408E-03  -0.936232E-06
   164   0.484588E+04   0.978481E+00   0.000000E+00  -0.441021E+02   0.681847E-07   0.200655E-03  -0.920102E-06
   165   0.487500E+04   0.968268E+00   0.000000E+00  -0.437499E+02   0.678062E-07   0.198922E-03  -0.903884E-06
   166   0.490377E+04   0.957841E+00   0.000000E+00  -0.433701E+02   0.674308E-07   0.197209E-03  -0.887602E-06
   167   0.493219E+04   0.947223E+00   0.000000E+00  -0.429625E+02   0.670586E-07   0.195514E-03  -0.871276E-06
   168   0.496025E+04   0.936438E+00   0.000000E+00  -0.425272E+02   0.666894E-07   0.193839E-03  -0.854929E-06
   169   0.498793E+04   0.925507E+00   0.000000E+00  -0.420641E+02   0.663233E-07   0.192183E-03  -0.838582E-06
   170   0.501524E+04   0.914448E+00   0.000000E+00  -0.415730E+02   0.659603E-07   0.190546E-03  -0.822257E-06
   171   0.504215E+04   0.903291E+00   0.000000E+00  -0.410540E+02   0.656002E-07   0.188927E-03  -0.805977E-06
   172   0.506868E+04   0.892058E+00   0.000000E+00  -0.405069E+02   0.652432E-07   0.187327E-03  -0.789763E-06
   173   0.509479E+04   0.880774E+00   0.000000E+00  -0.399318E+02   0.648892E-07   0.185745E-03  -0.773637E-06
   174   0.512049E+04   0.869460E+00   0.000000E+00  -0.393287E+02   0.645381E-07   0.184182E-03  -0.757620E-06
   175   0.514577E+04   0.858155E+00   0.000000E+00  -0.386976E+02   0.641900E-07   0.182636E-03  -0.741736E-06
   176   0.517062E+04   0.846876E+00   0.000000E+00  -0.380386E+02   0.638447E-07   0.181108E-03  -0.726000E-06
   177   0.519502E+04   0.835659E+00   0.000000E+00  -0.373517E+02   0.635024E-07   0.179598E-03  -0.710411E-06
   178   0.521897E+04   0.824529E+00   0.000000E+00  -0.366369E+02   0.631629E-07   0.178105E-03  -0.694962E-06
   179   0.524247E+04   0.813510E+00   0.000000E+00  -0.358944E+02   0.628263E-07   0.176629E-03  -0.679646E-06
   180   0.526550E+04   0.802639E+00   0.000000E+00  -0.351241E+02   0.624925E-07   0.175169E-03  -0.664456E-06
   181   0.528806E+04   0.791948E+00   0.000000E+00  -0.343264E+02   0.621614E-07   0.173725E-03  -0.649385E-06
   182   0.531014E+04   0.781468E+00   0.000000E+00  -0.335013E+02   0.618331E-07   0.172297E-03  -0.634426E-06
   183   0.533174E+04   0.771222E+00   0.000000E+00  -0.326490E+02   0.615076E-07   0.170884E-03  -0.619573E-06
   184   0.535284E+04   0.761248E+00   0.000000E+00  -0.317698E+02   0.611847E-07   0.169486E-03  -0.604818E-06
   185   0.537344E+04   0.751586E+00   0.000000E+00  -0.308635E+02   0.608645E-07   0.168103E-03  -0.590155E-06
   186   0.539353E+04   0.742258E+00   0.000000E+00  -0.299307E+02   0.605469E-07   0.166735E-03  -0.575576E-06
   187   0.541311E+04   0.733297E+00   0.000000E+00  -0.289713E+02   0.602319E-07   0.165380E-03  -0.561075E-06
   188   0.543217E+04   0.724743E+00   0.000000E+00  -0.279857E+02   0.599195E-07   0.164038E-03  -0.546645E-06
   189   0.545070E+04   0.716630E+00   0.000000E+00  -0.269741E+02   0.596097E-07   0.162710E-03  -0.532279E-06
   190   0.546869E+04   0.708992E+00   0.000000E+00  -0.259368E+02   0.593024E-07   0.161395E-03  -0.517970E-06
   191   0.548615E+04   0.701863E+00   0.000000E+00  -0.248741E+02   0.589976E-07   0.160092E-03  -0.503711E-06
   192   0.550304E+04   0.695279E+00   0.000000E+00  -0.237861E+02   0.586953E-07   0.158802E-03  -0.489496E-06
   193   0.551938E+04   0.689274E+00   0.000000E+00  -0.226731E+02   0.583954E-07   0.157523E-03  -0.475317E-06
   194   0.553517E+04   0.683887E+00   0.000000E+00  -0.215357E+02   0.580980E-07   0.156255E-03  -0.461168E-06
   195   0.555038E+04   0.679153E+00   0.000000E+00  -0.203740E+02   0.578029E-07   0.154999E-03  -0.447042E-06
   196   0.556503E+04   0.675109E+00   0.000000E+00  -0.191885E+02   0.575102E-07   0.153753E-03  -0.432931E-06
   197   0.557911E+04   0.671794E+00   0.000000E+00  -0.179795E+02   0.572198E-07   0.152518E-03  -0.418830E-06
