#    L    TT             EE             BB             TE          
   135   0.134821E+02   0.811524E-01   0.405936E-01  -0.564015E+00
   136   0.127697E+02   0.800836E-01   0.398505E-01  -0.526256E+00
   137   0.121028E+02   0.789993E-01   0.391133E-01  -0.489296E+00
   138   0.114801E+02   0.779007E-01   0.383826E-01  -0.453153E+00
   139   0.109003E+02   0.767892E-01   0.376589E-01  -0.417846E+00
   140   0.103620E+02   0.756660E-01   0.369428E-01  -0.383395E+00
   141   0.986391E+01   0.745325E-01   0.362349E-01  -0.349817E+00
   142   0.940464E+01   0.733898E-01   0.355357E-01  -0.317131E+00
   143   0.898288E+01   0.722392E-01   0.348458E-01  -0.285358E+00
   144   0.859729E+01   0.710821E-01   0.341657E-01  -0.254516E+00
   145   0.824654E+01   0.699197E-01   0.334961E-01  -0.224623E+00
   146   0.792928E+01   0.687533E-01   0.328375E-01  -0.195698E+00
   147   0.764419E+01   0.675841E-01   0.321904E-01  -0.167762E+00
   148   0.738991E+01   0.664135E-01   0.315555E-01  -0.140831E+00
   149   0.716512E+01   0.652428E-01   0.309332E-01  -0.114926E+00
   150   0.696848E+01   0.640731E-01   0.303242E-01  -0.900658E-01
   151   0.679870E+01   0.629057E-01   0.297289E-01  -0.662634E-01
   152   0.665470E+01   0.617415E-01   0.291476E-01  -0.435123E-01
   153   0.653542E+01   0.605812E-01   0.285802E-01  -0.218003E-01
   154   0.643984E+01   0.594256E-01   0.280268E-01  -0.111563E-02
   155   0.636690E+01   0.582755E-01   0.274876E-01   0.185539E-01
   156   0.631558E+01   0.571317E-01   0.269625E-01   0.372203E-01
   157   0.628483E+01   0.559950E-01   0.264518E-01   0.548955E-01
   158   0.627361E+01   0.548661E-01   0.259553E-01   0.715917E-01
   159   0.628089E+01   0.537458E-01   0.254733E-01   0.873208E-01
   160   0.630561E+01   0.526349E-01   0.250059E-01   0.102095E+00
   161   0.634675E+01   0.515342E-01   0.245529E-01   0.115926E+00
   162   0.640325E+01   0.504445E-01   0.241147E-01   0.128826E+00
   163   0.647409E+01   0.493665E-01   0.236911E-01   0.140807E+00
   164   0.655822E+01   0.483010E-01   0.232824E-01   0.151881E+00
   165   0.665461E+01   0.472489E-01   0.228886E-01   0.162060E+00
   166   0.676220E+01   0.462108E-01   0.225097E-01   0.171356E+00
   167   0.687996E+01   0.451876E-01   0.221458E-01   0.179782E+00
   168   0.700686E+01   0.441800E-01   0.217970E-01   0.187349E+00
   169   0.714185E+01   0.431888E-01   0.214635E-01   0.194068E+00
   170   0.728389E+01   0.422149E-01   0.211452E-01   0.199953E+00
   171   0.743194E+01   0.412589E-01   0.208422E-01   0.205016E+00
   172   0.758496E+01   0.403217E-01   0.205546E-01   0.209267E+00
   173   0.774192E+01   0.394041E-01   0.202825E-01   0.212720E+00
   174   0.790177E+01   0.385068E-01   0.200260E-01   0.215386E+00
   175   0.806346E+01   0.376305E-01   0.197851E-01   0.217277E+00
   176   0.822608E+01   0.367761E-01   0.195599E-01   0.218409E+00
   177   0.838909E+01   0.359438E-01   0.193499E-01   0.218809E+00
   178   0.855210E+01   0.351338E-01   0.191549E-01   0.218506E+00
   179   0.871468E+01   0.343464E-01   0.189743E-01   0.217532E+00
   180   0.887644E+01   0.335817E-01   0.188077E-01   0.215916E+00
   181   0.903694E+01   0.328399E-01   0.186548E-01   0.213690E+00
   182   0.919580E+01   0.321214E-01   0.185151E-01   0.210882E+00
   183   0.935259E+01   0.314263E-01   0.183882E-01   0.207524E+00
   184   0.950691E+01   0.307548E-01   0.182737E-01   0.203646E+00
   185   0.965833E+01   0.301072E-01   0.181711E-01   0.199277E+00
   186   0.980646E+01   0.294836E-01   0.180801E-01   0.194449E+00
   187   0.995089E+01   0.288843E-01   0.180003E-01   0.189192E+00
   188   0.100912E+02   0.283095E-01   0.179311E-01   0.183535E+00
   189   0.102270E+02   0.277594E-01   0.178723E-01   0.177510E+00
   190   0.103578E+02   0.272343E-01   0.178234E-01   0.171147E+00
   191   0.104833E+02   0.267343E-01   0.177839E-01   0.164475E+00
   192   0.106030E+02   0.262596E-01   0.177535E-01   0.157525E+00
   193   0.107165E+02   0.258106E-01   0.177317E-01   0.150328E+00
